""	chromosome	start	end	genename	ensemblid
"50"	12	91172824	91192825	DCN	ENSG00000011465
"51"	1	225901382	225921383	LEFTY1	ENSG00000243709
"52"	1	183580876	183600877	NCF2	ENSG00000116701
"53"	5	149934793	149954794	PDE6A	ENSG00000132915
"54"	20	37893111	37913112	VSTM2L	ENSG00000132821
"55"	1	150539369	150559370	ADAMTSL4	ENSG00000143382
"56"	14	94602377	94622378	SERPINA3	ENSG00000196136
"57"	4	8172072	8192073	SH3TC1	ENSG00000125089
"58"	13	43776908	43796909	ENOX1	ENSG00000120658
"59"	13	98132562	98152563	FARP1	ENSG00000152767
"60"	11	114247787	114267788	NNMT	ENSG00000166741
"61"	1	116362668	116382669	ATP1A1	ENSG00000163399
"62"	3	9907074	9927075	IL17RC	ENSG00000163702
"63"	12	117958983	117978984	KSR2	ENSG00000171435
"64"	11	114049593	114069594	ZBTB16	ENSG00000109906
"65"	2	10292889	10312890	HPCAL1	ENSG00000115756
"66"	12	113416301	113436302	SDS	ENSG00000135094
"67"	7	100939534	100959535	MUC3A	ENSG00000169894
"68"	16	56672470	56692471	MT1X	ENSG00000187193
"69"	X	119140579	119160580	KIAA1210	ENSG00000250423
"70"	8	61047158	61067159	CLVS1	ENSG00000177182
"71"	9	92131298	92151299	LINC00475	ENSG00000225511
"72"	3	194676544	194696545	FAM43A	ENSG00000185112
"73"	17	75711328	75731329	ITGB4	ENSG00000132470
"74"	13	46095033	46115034	CPB2	ENSG00000080618
"75"	16	56598584	56618585	MT2A	ENSG00000125148
"76"	20	49474297	49494298	KCNB1	ENSG00000158445
"77"	12	121853596	121873597	HPD	ENSG00000158104
"78"	1	25861253	25881254	PAQR7	ENSG00000182749
"79"	17	40491623	40511624	TNS4	ENSG00000131746
"80"	20	54060594	54080595	BCAS1	ENSG00000064787
"81"	20	59290443	59310444	EDN3	ENSG00000124205
"82"	2	182856637	182876638	FRZB	ENSG00000162998
"83"	2	23375179	23395180	KLHL29	ENSG00000119771
"84"	16	88793789	88813790	CDT1	ENSG00000167513
"85"	7	100529203	100549204	AGFG2	ENSG00000106351
"86"	1	8307826	8327827	SLC45A1	ENSG00000162426
"87"	5	149131483	149151484	ABLIM3	ENSG00000173210
"88"	11	18256260	18276261	SAA1	ENSG00000173432
"89"	12	53036969	53056970	TNS2	ENSG00000111077
"90"	19	47280023	47300024	C5AR1	ENSG00000197405
"91"	12	65579111	65599112	LINC02454	ENSG00000256268
"92"	2	209414058	209434059	MAP2	ENSG00000078018
"93"	8	141298305	141318306	SLC45A4	ENSG00000022567
"94"	10	4668185	4688186	MANCR	ENSG00000231298
"95"	22	24235142	24255143	GGT5	ENSG00000099998
"96"	17	68945392	68965393	ABCA8	ENSG00000141338
"97"	1	19586979	19606980	NBL1	ENSG00000158747
"98"	3	120672269	120692270	HGD	ENSG00000113924
"99"	15	68422163	68442164	ITGA11	ENSG00000137809
"100"	9	93048688	93068689	SUSD3	ENSG00000157303
"101"	1	242514696	242534697	PLD5	ENSG00000180287
"102"	6	35718583	35738584	FKBP5	ENSG00000096060
"103"	10	95281012	95301013	PDLIM1	ENSG00000107438
"104"	10	15022227	15042228	OLAH	ENSG00000152463
"105"	17	40277879	40297880	CDC6	ENSG00000094804
"106"	8	133181039	133201040	CCN4	ENSG00000104415
"107"	11	61940063	61960064	BEST1	ENSG00000167995
"108"	17	6546555	6566556	PITPNM3	ENSG00000091622
"109"	5	31183686	31203687	CDH6	ENSG00000113361
"110"	22	36229954	36249955	APOL2	ENSG00000128335
"111"	9	70404624	70424625	KLF9	ENSG00000119138
"112"	1	21659363	21679364	RAP1GAP	ENSG00000076864
"113"	2	33426324	33446325	RASGRP3	ENSG00000152689
"114"	19	6660588	6680589	TNFSF14	ENSG00000125735
"115"	17	32255832	32275833	RHBDL3	ENSG00000141314
"116"	10	89382546	89402547	IFIT1	ENSG00000185745
"117"	11	2875773	2895774	CDKN1C	ENSG00000129757
"118"	1	155182916	155202917	MUC1	ENSG00000185499
"119"	16	23172745	23192746	SCNN1G	ENSG00000166828
"120"	4	68366323	68386324	MT2P1	ENSG00000162840
"121"	22	42711298	42731299	A4GALT	ENSG00000128274
"122"	15	78801464	78821465	ADAMTS7	ENSG00000136378
"123"	X	53072367	53092368	TSPYL2	ENSG00000184205
"124"	1	54877195	54897196	DHCR24	ENSG00000116133
"125"	3	53146009	53166010	PRKCD	ENSG00000163932
"126"	9	92122398	92142399	AL354751.1	ENSG00000234537
"127"	4	185946652	185966653	SORBS2	ENSG00000154556
"128"	10	97562499	97582500	ANKRD2	ENSG00000165887
"129"	4	8148832	8168833	ABLIM2	ENSG00000163995
"130"	7	76292673	76312674	HSPB1	ENSG00000106211
"131"	17	35785707	35805708	MMP28	ENSG00000271447
"132"	19	47322147	47342148	C5AR2	ENSG00000134830
"133"	22	31652432	31672433	PISD	ENSG00000241878
"134"	12	49529030	49549031	KCNH3	ENSG00000135519
"135"	18	66594138	66614139	CDH19	ENSG00000071991
"136"	5	122068360	122088361	LOX	ENSG00000113083
"137"	16	81228689	81248690	BCO1	ENSG00000135697
"138"	7	134734252	134754253	CALD1	ENSG00000122786
"139"	9	121197794	121217795	GSN	ENSG00000148180
"140"	8	132856958	132876959	TG	ENSG00000042832
"141"	12	7881148	7901149	SLC2A14	ENSG00000173262
"142"	19	4893080	4913081	UHRF1	ENSG00000276043
"143"	20	63243978	63263979	AL121827.2	ENSG00000275620
"144"	11	45276341	45296342	SYT13	ENSG00000019505
"145"	17	67367281	67387282	PITPNC1	ENSG00000154217
"146"	20	38156578	38176579	TGM2	ENSG00000198959
"147"	9	122219626	122239627	LHX6	ENSG00000106852
"148"	5	154468227	154488228	HAND1	ENSG00000113196
"149"	14	77106568	77126569	TMEM63C	ENSG00000165548
"150"	20	35597562	35617563	FER1L4	ENSG00000088340
"151"	14	22819820	22839821	SLC7A7	ENSG00000155465
"152"	12	13377167	13397168	LINC01559	ENSG00000180861
"153"	10	97703173	97723174	MARVELD1	ENSG00000155254
"154"	2	216685549	216705550	IGFBP5	ENSG00000115461
"155"	19	18264509	18284510	IQCN	ENSG00000130518
"156"	4	128560531	128580532	AC078850.1	ENSG00000248187
"157"	11	112165467	112185468	BCO2	ENSG00000197580
"158"	5	76393285	76413286	IQGAP2	ENSG00000145703
"159"	16	10439747	10459748	AC131649.2	ENSG00000279662
"160"	17	40465289	40485290	AC018629.1	ENSG00000279806
"161"	22	35390134	35410135	MCM5	ENSG00000100297
"162"	11	45837118	45857119	CRY2	ENSG00000121671
"163"	16	4950741	4970742	PPL	ENSG00000118898
"164"	3	152259557	152279558	MBNL1-AS1	ENSG00000229619
"165"	9	97491180	97511181	TMOD1	ENSG00000136842
"166"	15	34785726	34805727	ACTC1	ENSG00000159251
"167"	4	154552956	154572957	FGB	ENSG00000171564
"168"	1	22700839	22720840	EPHB2	ENSG00000133216
"169"	14	75568620	75588621	FLVCR2	ENSG00000119686
"170"	12	32886840	32906841	PKP2	ENSG00000057294
"171"	X	152627895	152647896	GABRQ	ENSG00000268089
"172"	11	33690801	33710802	C11orf91	ENSG00000205177
"173"	22	26636411	26656412	MIAT	ENSG00000225783
"174"	20	33676385	33696386	E2F1	ENSG00000101412
"175"	19	4392640	4412641	CHAF1A	ENSG00000167670
"176"	5	81741797	81761798	SSBP2	ENSG00000145687
"177"	3	157523619	157543620	VEPH1	ENSG00000197415
"178"	19	9926552	9946553	OLFM2	ENSG00000105088
"179"	12	21516296	21536297	SPX	ENSG00000134548
"180"	16	89603308	89623309	DPEP1	ENSG00000015413
"181"	11	61882051	61902052	FADS3	ENSG00000221968
"182"	17	39215945	39235946	STAC2	ENSG00000141750
"183"	2	10901934	10921935	KCNF1	ENSG00000162975
"184"	1	143726066	143746067	AC239800.2	ENSG00000232721
"185"	2	101242866	101262867	TBC1D8	ENSG00000204634
"186"	16	48237568	48257569	ABCC11	ENSG00000121270
"187"	11	119371711	119391712	USP2	ENSG00000036672
"188"	6	41744109	41764110	PGC	ENSG00000096088
"189"	8	35225475	35245476	UNC5D	ENSG00000156687
"190"	20	25238085	25258086	PYGB	ENSG00000100994
"191"	14	103512833	103532834	CKB	ENSG00000166165
"192"	7	2344318	2364319	SNX8	ENSG00000106266
"193"	15	65035387	65055388	SLC51B	ENSG00000186198
"194"	6	88156359	88176360	CNR1	ENSG00000118432
"195"	11	57587387	57607388	SERPING1	ENSG00000149131
"196"	7	98860771	98880772	TMEM130	ENSG00000166448
"197"	9	128872494	128892495	KYAT1	ENSG00000171097
"198"	12	52939954	52959955	KRT8	ENSG00000170421
"199"	15	45621148	45641149	SQOR	ENSG00000137767
"200"	X	109992631	110012632	TMEM164	ENSG00000157600
"201"	4	144636156	144656157	HHIP	ENSG00000164161
"202"	2	206208047	206228048	GPR1	ENSG00000183671
"203"	8	27301482	27321483	PTK2B	ENSG00000120899
"204"	14	91937987	91957988	FBLN5	ENSG00000140092
"205"	17	76858456	76878457	MGAT5B	ENSG00000167889
"206"	2	121275202	121295203	TFCP2L1	ENSG00000115112
"207"	22	30683782	30703783	OSBP2	ENSG00000184792
"208"	6	134288695	134308696	KRT8P42	ENSG00000220378
"209"	2	219268170	219288171	TUBA4A	ENSG00000127824
"210"	14	100577413	100597414	BEGAIN	ENSG00000183092
"211"	17	69131895	69151896	ABCA6	ENSG00000154262
"212"	3	127588410	127608411	MCM2	ENSG00000073111
"213"	12	107308421	107328422	BTBD11	ENSG00000151136
"214"	17	34164964	34184965	ASIC2	ENSG00000108684
"215"	2	222308653	222328654	AC010980.1	ENSG00000267034
"216"	4	4338140	4358141	NSG1	ENSG00000168824
"217"	16	11239619	11259620	RMI2	ENSG00000175643
"218"	20	38336482	38356483	LBP	ENSG00000129988
"219"	16	695808	715809	FBXL16	ENSG00000127585
"220"	5	112409313	112429314	EPB41L4A	ENSG00000129595
"221"	12	110911443	110931444	MYL2	ENSG00000111245
"222"	14	103705504	103725505	XRCC3	ENSG00000126215
"223"	1	211124165	211144166	KCNH1	ENSG00000143473
"224"	10	89546641	89566642	SLC16A12	ENSG00000152779
"225"	16	56647731	56667732	MT1F	ENSG00000198417
"226"	12	123140015	123160016	PITPNM2	ENSG00000090975
"227"	16	2970479	2990480	PKMYT1	ENSG00000127564
"228"	14	100149645	100169646	DEGS2	ENSG00000168350
"229"	19	53982288	54002289	CACNG6	ENSG00000130433
"230"	12	47238124	47258125	AC008083.2	ENSG00000258181
"231"	7	142845061	142865062	EPHB6	ENSG00000106123
"232"	18	11971025	11991026	IMPA2	ENSG00000141401
"233"	22	36243010	36263011	APOL1	ENSG00000100342
"234"	12	52938871	52958872	KRT18	ENSG00000111057
"235"	9	96408370	96428371	ZNF367	ENSG00000165244
"236"	11	61782911	61802912	FEN1	ENSG00000168496
"237"	17	28845232	28865233	FAM222B	ENSG00000173065
"238"	1	23521233	23541234	E2F2	ENSG00000007968
"239"	1	25607468	25627469	MAN1C1	ENSG00000117643
"240"	1	109103679	109123680	KIAA1324	ENSG00000116299
"241"	15	32708004	32728005	GREM1	ENSG00000166923
"242"	1	186286279	186306280	PRG4	ENSG00000116690
"243"	3	138598606	138618607	FAIM	ENSG00000158234
"244"	7	83639139	83659140	SEMA3E	ENSG00000170381
"245"	17	36926670	36946671	LHX1-DT	ENSG00000277268
"246"	17	55254960	55274961	HLF	ENSG00000108924
"247"	11	11612005	11632006	GALNT18	ENSG00000110328
"248"	13	42982271	43002272	EPSTI1	ENSG00000133106
"249"	14	96029324	96049325	C14orf132	ENSG00000227051
"250"	7	45911874	45931875	IGFBP3	ENSG00000146674
"251"	3	48178402	48198403	CDC25A	ENSG00000164045
"252"	6	162717771	162737772	PRKN	ENSG00000185345
"253"	3	46867721	46887722	PTH1R	ENSG00000160801
"254"	17	9812206	9832207	GLP2R	ENSG00000065325
"255"	11	111913722	111933723	CRYAB	ENSG00000109846
"256"	14	69787241	69807242	SLC10A1	ENSG00000100652
"257"	22	39234751	39254752	PDGFB	ENSG00000100311
"258"	7	32289329	32309330	PDE1C	ENSG00000154678
"259"	14	52059228	52079229	NID2	ENSG00000087303
"260"	21	36375392	36395393	CHAF1B	ENSG00000159259
"261"	17	10188551	10208552	AC005747.1	ENSG00000007237
"262"	3	54112547	54132548	CACNA2D3	ENSG00000157445
"263"	15	41884053	41904054	SPTBN5	ENSG00000137877
"264"	17	42567831	42587832	PSMC3IP	ENSG00000131470
"265"	1	17239098	17259099	PADI3	ENSG00000142619
"266"	9	130434929	130454930	ASS1	ENSG00000130707
"267"	2	130188439	130208440	TUBA3E	ENSG00000152086
"268"	19	14323743	14343744	LINC01842	ENSG00000267147
"269"	2	191837088	191857089	CAVIN2	ENSG00000168497
"270"	12	95986365	96006366	HAL	ENSG00000084110
"271"	1	225690264	225710265	AC099066.2	ENSG00000227496
"272"	1	78609922	78629923	IFI44L	ENSG00000137959
"273"	1	46236461	46256462	RAD54L	ENSG00000085999
"274"	11	57450528	57470529	RTN4RL2	ENSG00000186907
"275"	19	40708207	40728208	COQ8B	ENSG00000123815
"276"	15	101515202	101535203	PCSK6	ENSG00000140479
"277"	3	109168143	109188144	LINC00488	ENSG00000214381
"278"	X	106890164	106910165	CLDN2	ENSG00000165376
"279"	11	85801159	85821160	SYTL2	ENSG00000137501
"280"	1	6414670	6434671	HES2	ENSG00000069812
"281"	2	32936953	32956954	LTBP1	ENSG00000049323
"282"	10	13151554	13171555	MCM10	ENSG00000065328
"283"	X	106990212	107010213	MORC4	ENSG00000133131
"284"	17	58530818	58550819	SEPT4	ENSG00000108387
"285"	X	9776297	9796298	GPR143	ENSG00000101850
"286"	6	32931028	32951029	HLA-DMB	ENSG00000242574
"287"	8	144434440	144454441	TONSL	ENSG00000160949
"288"	15	40098892	40118893	BMF	ENSG00000104081
"289"	12	94640557	94660558	TMCC3	ENSG00000057704
"290"	2	31404742	31424743	XDH	ENSG00000158125
"291"	20	3163592	3183593	LZTS3	ENSG00000088899
"292"	16	81020770	81040771	AC092718.4	ENSG00000261061
"293"	11	19231620	19251621	E2F8	ENSG00000129173
"294"	10	21362950	21382951	LINC02643	ENSG00000230109
"295"	12	119979869	119999870	BICDL1	ENSG00000135127
"296"	10	5622435	5642436	LINC02657	ENSG00000242147
"297"	7	44969088	44989089	MYO1G	ENSG00000136286
"298"	4	188099603	188119604	TRIML2	ENSG00000179046
"299"	11	34348010	34368011	ABTB2	ENSG00000166016
"300"	1	20708017	20728018	KIF17	ENSG00000117245
"301"	2	26682690	26702691	KCNK3	ENSG00000171303
"302"	11	27210113	27230114	BBOX1-AS1	ENSG00000254560
"303"	5	159089916	159109917	EBF1	ENSG00000164330
"304"	2	219408377	219428378	DES	ENSG00000175084
"305"	19	15901824	15921825	AC005336.1	ENSG00000267056
"306"	2	44265458	44285459	SLC3A1	ENSG00000138079
"307"	12	132677365	132697366	POLE	ENSG00000177084
"308"	14	56107814	56127815	PELI2	ENSG00000139946
"309"	1	114143919	114163920	SYT6	ENSG00000134207
"310"	20	51552831	51572832	NFATC2	ENSG00000101096
"311"	11	59097185	59117186	FAM111B	ENSG00000189057
"312"	19	4173354	4193355	ANKRD24	ENSG00000089847
"313"	4	2252109	2272110	MXD4	ENSG00000123933
"314"	8	27982673	28002674	SCARA5	ENSG00000168079
"315"	1	241837967	241857968	EXO1	ENSG00000174371
"316"	19	2041244	2061245	MKNK2	ENSG00000099875
"317"	4	76425229	76445230	SHROOM3	ENSG00000138771
"318"	2	207156120	207176121	MYOSLID	ENSG00000229647
"319"	11	126993460	127013461	KIRREL3	ENSG00000149571
"320"	16	14684669	14704670	PLA2G10	ENSG00000069764
"321"	16	85680073	85700074	GINS2	ENSG00000131153
"322"	19	15924867	15944868	CYP4F11	ENSG00000171903
"323"	1	53318469	53338470	LRP8	ENSG00000157193
"324"	16	10518202	10538203	LINC01290	ENSG00000260468
"325"	4	168082515	168102516	ANXA10	ENSG00000109511
"326"	3	47000824	47020825	NRADDP	ENSG00000236409
"327"	10	44949407	44969408	RASSF4	ENSG00000107551
"328"	22	43005149	43025150	PACSIN2	ENSG00000100266
"329"	18	50185147	50205148	MYO5B	ENSG00000167306
"330"	16	87755992	87775993	KLHDC4	ENSG00000104731
"331"	3	156807062	156827063	LINC00886	ENSG00000240875
"332"	6	136326087	136346088	AL023284.4	ENSG00000260418
"333"	17	47947883	47967884	PRR15L	ENSG00000167183
"334"	6	7716099	7736100	BMP6	ENSG00000153162
"335"	5	149541947	149561948	ARHGEF37	ENSG00000183111
"336"	11	86945395	86965396	FZD4	ENSG00000174804
"337"	18	23652911	23672912	ANKRD29	ENSG00000154065
"338"	12	98506422	98526423	TMPO-AS1	ENSG00000257167
"339"	1	197057267	197077268	F13B	ENSG00000143278
"340"	14	69844131	69864132	SMOC1	ENSG00000198732
"341"	17	79768148	79788149	CBX2	ENSG00000173894
"342"	19	35105879	35125880	FXYD3	ENSG00000089356
"343"	1	212025553	212045554	DTL	ENSG00000143476
"344"	14	103918456	103938457	TDRD9	ENSG00000156414
"345"	16	4361848	4381849	VASN	ENSG00000168140
"346"	11	92342096	92362097	FAT3	ENSG00000165323
"347"	12	125176836	125196837	TMEM132B	ENSG00000139364
"348"	20	63262694	63282695	NKAIN4	ENSG00000101198
"349"	7	100091940	100111941	MCM7	ENSG00000166508
"350"	3	50145045	50165046	SEMA3F	ENSG00000001617
"351"	11	17003998	17023999	OR7E14P	ENSG00000184669
"352"	2	24783136	24803137	CENPO	ENSG00000138092
"353"	6	137209449	137229450	IFNGR1	ENSG00000027697
"354"	7	130283134	130303135	CPA4	ENSG00000128510
"355"	5	169627268	169647269	DOCK2	ENSG00000134516
"356"	X	46563784	46583785	CHST7	ENSG00000147119
"357"	7	102423106	102443107	ORAI2	ENSG00000160991
"358"	17	19857936	19877937	ULK2	ENSG00000083290
"359"	12	78853993	78873994	SYT1	ENSG00000067715
"360"	11	73366399	73386400	RELT	ENSG00000054967
"361"	4	98648611	98668612	TSPAN5	ENSG00000168785
"362"	11	107008524	107028525	GUCY1A2	ENSG00000152402
"363"	20	22568642	22588643	LINC00261	ENSG00000259974
"364"	1	27002850	27022851	TENT5B	ENSG00000158246
"365"	17	61853521	61873522	BRIP1	ENSG00000136492
"366"	5	133602541	133622542	FSTL4	ENSG00000053108
"367"	18	72628521	72648522	CBLN2	ENSG00000141668
"368"	19	46067118	46087119	IGFL4	ENSG00000204869
"369"	6	52274881	52294882	MCM3	ENSG00000112118
"370"	3	42479299	42499300	VIPR1	ENSG00000114812
"371"	4	5041480	5061481	STK32B	ENSG00000152953
"372"	3	46683704	46703705	ALS2CL	ENSG00000178038
"373"	7	84482724	84502725	SEMA3A	ENSG00000075213
"374"	18	3456250	3476251	GAPLINC	ENSG00000266835
"375"	19	4549684	4569685	SEMA6B	ENSG00000167680
"376"	2	162064215	162084216	DPP4	ENSG00000197635
"377"	17	78350077	78370078	SOCS3	ENSG00000184557
"378"	19	41183210	41203211	CYP2S1	ENSG00000167600
"379"	11	56838478	56858479	AP001803.2	ENSG00000255433
"380"	12	120255771	120275772	PXN	ENSG00000089159
"381"	12	122824453	122844454	HIP1R	ENSG00000130787
"382"	15	43816980	43836981	WDR76	ENSG00000092470
"383"	19	50794929	50814930	C19orf48	ENSG00000167747
"384"	1	9078478	9098479	SLC2A5	ENSG00000142583
"385"	19	46287046	46307047	HIF3A	ENSG00000124440
"386"	15	44185271	44205272	FRMD5	ENSG00000171877
"387"	15	74715536	74735537	CYP1A1	ENSG00000140465
"388"	18	8697621	8717622	GACAT2	ENSG00000265962
"389"	19	8353289	8373290	ANGPTL4	ENSG00000167772
"390"	1	212555334	212575335	ATF3	ENSG00000162772
"391"	10	62364192	62384193	ZNF365	ENSG00000138311
"392"	20	41307672	41327673	ZHX3	ENSG00000174306
"393"	8	41886762	41906763	ANK1	ENSG00000029534
"394"	17	7992594	8012595	GUCY2D	ENSG00000132518
"395"	6	42040357	42060358	CCND3	ENSG00000112576
"396"	1	36145579	36165580	MAP7D1	ENSG00000116871
"397"	7	100469232	100489233	TSC22D4	ENSG00000166925
"398"	14	52304305	52324306	PTGER2	ENSG00000125384
"399"	1	203080654	203100655	ADORA1	ENSG00000163485
"400"	14	57483867	57503868	CCDC198	ENSG00000100557
"401"	7	32718569	32738570	ZNRF2P1	ENSG00000237004
"402"	21	31863020	31883021	HUNK	ENSG00000142149
"403"	6	167987110	168007111	KIF25-AS1	ENSG00000229921
"404"	X	30299598	30319599	NR0B1	ENSG00000169297
"405"	9	83053177	83073178	RASEF	ENSG00000165105
"406"	10	97574323	97594324	HOGA1	ENSG00000241935
"407"	8	40343133	40363134	SIRLNT	ENSG00000253802
"408"	22	45403691	45423692	RIBC2	ENSG00000128408
"409"	1	145698148	145718149	PDZK1	ENSG00000174827
"410"	13	106525662	106545663	EFNB2	ENSG00000125266
"411"	12	116871441	116891442	HRK	ENSG00000135116
"412"	16	67420652	67440653	HSD11B2	ENSG00000176387
"413"	20	63225883	63245884	BIRC7	ENSG00000101197
"414"	11	31359810	31379811	DCDC1	ENSG00000170959
"415"	7	150968315	150988316	KCNH2	ENSG00000055118
"416"	6	89070751	89090752	PNRC1	ENSG00000146278
"417"	5	159855080	159875081	ADRA1B	ENSG00000170214
"418"	2	85593196	85613197	TMEM150A	ENSG00000168890
"419"	10	71202570	71222571	UNC5B	ENSG00000107731
"420"	1	35759978	35779979	CLSPN	ENSG00000092853
"421"	3	189621389	189641390	TP63	ENSG00000073282
"422"	10	103845543	103865544	SH3PXD2A	ENSG00000107957
"423"	1	145900111	145920112	ITGA10	ENSG00000143127
"424"	17	1700377	1720378	TLCD2	ENSG00000185561
"425"	12	7082540	7102541	C1R	ENSG00000159403
"426"	3	186707348	186727349	KNG1	ENSG00000113889
"427"	15	57365967	57385968	CGNL1	ENSG00000128849
"428"	22	30386941	30406942	SEC14L2	ENSG00000100003
"429"	20	43657019	43677020	MYBL2	ENSG00000101057
"430"	16	68727292	68747293	CDH1	ENSG00000039068
"431"	3	66491263	66511264	LRIG1	ENSG00000144749
"432"	10	72263924	72283925	DDIT4	ENSG00000168209
"433"	12	77055569	77075570	E2F7	ENSG00000165891
"434"	13	40656641	40676642	FOXO1	ENSG00000150907
"435"	1	32326233	32346234	MARCKSL1	ENSG00000175130
"436"	19	15662757	15682758	CYP4F12	ENSG00000186204
"437"	12	27962705	27982706	PTHLH	ENSG00000087494
"438"	2	216362483	216382484	MARCH4	ENSG00000144583
"439"	15	40684774	40704775	RAD51	ENSG00000051180
"440"	14	34452774	34472775	EGLN3	ENSG00000129521
"441"	10	110634336	110654337	RBM20	ENSG00000203867
"442"	2	135866443	135886444	MCM6	ENSG00000076003
"443"	3	194491503	194511504	AC108676.1	ENSG00000244675
"444"	5	95812726	95832727	GLRX	ENSG00000173221
"445"	3	105859552	105879553	CBLB	ENSG00000114423
"446"	20	57700156	57720157	NKILA	ENSG00000278709
"447"	6	106778148	106798149	LINC02532	ENSG00000235142
"448"	6	3447022	3467023	SLC22A23	ENSG00000137266
"449"	20	35605892	35625893	SPAG4	ENSG00000061656
"450"	16	17124504	17144505	AC109446.3	ENSG00000261448
"451"	14	104128723	104148724	KIF26A	ENSG00000066735
"452"	22	44302951	44322952	SHISAL1	ENSG00000138944
"453"	X	153876174	153896175	L1CAM	ENSG00000198910
"454"	4	113969727	113989728	ARSJ	ENSG00000180801
"455"	20	9058763	9078764	PLCB4	ENSG00000101333
"456"	12	76249836	76269837	LNCOG	ENSG00000257219
"457"	12	123071384	123091385	PITPNM2-AS1	ENSG00000251497
"458"	2	44944664	44964665	AC012354.1	ENSG00000225156
"459"	8	27623868	27643869	SCARA3	ENSG00000168077
"460"	17	3713903	3733904	HASPIN	ENSG00000177602
"461"	4	102750994	102770995	MANBA	ENSG00000109323
"462"	9	123991670	124011671	LHX2	ENSG00000106689
"463"	4	16074378	16094379	PROM1	ENSG00000007062
"464"	20	32000450	32020451	CCM2L	ENSG00000101331
"465"	7	151867042	151887043	PRKAG2-AS1	ENSG00000239911
"466"	10	62258844	62278845	RTKN2	ENSG00000182010
"467"	6	157971863	157991864	SYNJ2	ENSG00000078269
"468"	19	50374204	50394205	POLD1	ENSG00000062822
"469"	12	10162138	10182139	OLR1	ENSG00000173391
"470"	1	153668688	153688689	NPR1	ENSG00000169418
"471"	15	74202267	74222268	STRA6	ENSG00000137868
"472"	16	57788186	57808187	AC092118.1	ENSG00000187185
"473"	1	212940520	212960521	VASH2	ENSG00000143494
"474"	5	169970495	169990496	INSYN2B	ENSG00000204767
"475"	1	52394423	52414424	ORC1	ENSG00000085840
"476"	9	137044061	137064062	ENTPD2	ENSG00000054179
"477"	17	78567394	78587395	DNAH17	ENSG00000187775
"478"	7	100473927	100493928	NYAP1	ENSG00000166924
"479"	15	80769343	80789344	CEMIP	ENSG00000103888
"480"	16	2959245	2979246	PAQR4	ENSG00000162073
"481"	2	151724487	151744488	NEB	ENSG00000183091
"482"	8	73284602	73304603	RDH10	ENSG00000121039
