ensemblid	gene.name	chromosome	start_peak	end_peak	gene.regulation
ENSG00000065526	SPEN	1	15799224	15799724	NA
ENSG00000065526	SPEN	1	15796840	15797099	NA
ENSG00000065526	SPEN	1	15795190	15795410	NA
ENSG00000142627	EPHA2	1	16195559	16195746	NA
ENSG00000142627	EPHA2	1	16248694	16248864	NA
ENSG00000142632	ARHGEF19	1	16195559	16195746	NA
ENSG00000142632	ARHGEF19	1	16248694	16248864	NA
ENSG00000132881	CPLANE2	1	16195559	16195746	NA
ENSG00000132881	CPLANE2	1	16248694	16248864	NA
ENSG00000058453	CROCC	1	16765323	16765395	NA
ENSG00000009709	PAX7	1	18670240	18670548	NA
ENSG00000077549	CAPZB	1	19504942	19505148	NA
ENSG00000173436	MICOS10	1	19504942	19505148	NA
ENSG00000270136	MICOS10-NBL1	1	19504942	19505148	NA
ENSG00000270136	MICOS10-NBL1	1	19613475	19613686	NA
ENSG00000270136	MICOS10-NBL1	1	19640001	19640342	NA
ENSG00000158747	NBL1	1	19504942	19505148	NA
ENSG00000158747	NBL1	1	19613475	19613686	NA
ENSG00000158747	NBL1	1	19640001	19640342	NA
ENSG00000158748	HTR6	1	19613475	19613686	NA
ENSG00000158748	HTR6	1	19640001	19640342	NA
ENSG00000117215	PLA2G2D	1	20211527	20211897	NA
ENSG00000158786	PLA2G2F	1	20211527	20211897	NA
ENSG00000187980	PLA2G2C	1	20211527	20211897	NA
ENSG00000162543	UBXN10	1	20211527	20211897	NA
ENSG00000158816	VWA5B1	1	20211527	20211897	NA
ENSG00000158816	VWA5B1	1	20302058	20302385	NA
ENSG00000158828	PINK1	1	20698484	20698766	NA
ENSG00000244038	DDOST	1	20698484	20698766	NA
ENSG00000117245	KIF17	1	20698484	20698766	NA
ENSG00000189410	SH2D5	1	20698484	20698766	NA
ENSG00000127483	HP1BP3	1	20698484	20698766	NA
ENSG00000127483	HP1BP3	1	20847619	20847938	NA
ENSG00000075151	EIF4G3	1	21264979	21265264	NA
ENSG00000075151	EIF4G3	1	21261888	21262168	NA
ENSG00000075151	EIF4G3	1	21262517	21262730	NA
ENSG00000075151	EIF4G3	1	21276422	21276690	NA
ENSG00000117298	ECE1	1	21264979	21265264	NA
ENSG00000117298	ECE1	1	21261888	21262168	NA
ENSG00000117298	ECE1	1	21262517	21262730	NA
ENSG00000117298	ECE1	1	21276422	21276690	NA
ENSG00000184677	ZBTB40	1	22414316	22414552	NA
ENSG00000169641	LUZP1	1	23188410	23188840	NA
ENSG00000169641	LUZP1	1	23188944	23189223	NA
ENSG00000169641	LUZP1	1	23195136	23195267	NA
ENSG00000179546	HTR1D	1	23188410	23188840	NA
ENSG00000179546	HTR1D	1	23188944	23189223	NA
ENSG00000125944	HNRNPR	1	23303601	23303818	NA
ENSG00000125944	HNRNPR	1	23303601	23303818	NA
ENSG00000125945	ZNF436	1	23303601	23303818	NA
ENSG00000125945	ZNF436	1	23303601	23303818	NA
ENSG00000088280	ASAP3	1	23562231	23562422	NA
ENSG00000088280	ASAP3	1	23562231	23562422	NA
ENSG00000007968	E2F2	1	23562231	23562422	NA
ENSG00000007968	E2F2	1	23562231	23562422	NA
ENSG00000007968	E2F2	1	23585538	23585963	NA
ENSG00000007968	E2F2	1	23585538	23585963	NA
ENSG00000007968	E2F2	1	23593785	23594062	NA
ENSG00000007968	E2F2	1	23593785	23594062	NA
ENSG00000117318	ID3	1	23562231	23562422	NA
ENSG00000117318	ID3	1	23562231	23562422	NA
ENSG00000117318	ID3	1	23585538	23585963	NA
ENSG00000117318	ID3	1	23585538	23585963	NA
ENSG00000117318	ID3	1	23593785	23594062	NA
ENSG00000117318	ID3	1	23593785	23594062	NA
ENSG00000142676	RPL11	1	23593785	23594062	NA
ENSG00000188822	CNR2	1	23984341	23984913	NA
ENSG00000189266	PNRC2	1	23984341	23984913	NA
ENSG00000189266	PNRC2	1	24018907	24019165	NA
ENSG00000188529	SRSF10	1	23984341	23984913	NA
ENSG00000188529	SRSF10	1	24018907	24019165	NA
ENSG00000142661	MYOM3	1	24018907	24019165	NA
ENSG00000158055	GRHL3	1	24294302	24294658	NA
ENSG00000158055	GRHL3	1	24294799	24295043	NA
ENSG00000158055	GRHL3	1	24374862	24375186	NA
ENSG00000001460	STPG1	1	24374862	24375186	NA
ENSG00000001461	NIPAL3	1	24374862	24375186	NA
ENSG00000169504	CLIC4	1	24793815	24794176	NA
ENSG00000169504	CLIC4	1	24814632	24814855	NA
ENSG00000117643	MAN1C1	1	25681878	25682163	NA
ENSG00000158006	PAFAH2	1	26036544	26036767	NA
ENSG00000158008	EXTL1	1	26036544	26036767	NA
ENSG00000158014	SLC30A2	1	26036544	26036767	NA
ENSG00000158022	TRIM63	1	26036544	26036767	NA
ENSG00000175087	PDIK1L	1	26036544	26036767	NA
ENSG00000117676	RPS6KA1	1	26620791	26621143	NA
ENSG00000117676	RPS6KA1	1	26620791	26621143	NA
ENSG00000117713	ARID1A	1	26620791	26621143	NA
ENSG00000060642	PIGV	1	26812752	26813029	NA
ENSG00000060642	PIGV	1	26849284	26849636	NA
ENSG00000204160	ZDHHC18	1	26812752	26813029	NA
ENSG00000204160	ZDHHC18	1	26849284	26849636	NA
ENSG00000175793	SFN	1	26812752	26813029	NA
ENSG00000175793	SFN	1	26849284	26849636	NA
ENSG00000175793	SFN	1	26961813	26962207	NA
ENSG00000142751	GPN2	1	26812752	26813029	NA
ENSG00000142751	GPN2	1	26849284	26849636	NA
ENSG00000142751	GPN2	1	26961813	26962207	NA
ENSG00000198746	GPATCH3	1	26812752	26813029	NA
ENSG00000198746	GPATCH3	1	26849284	26849636	NA
ENSG00000198746	GPATCH3	1	26961813	26962207	NA
ENSG00000198746	GPATCH3	1	26999463	26999815	NA
ENSG00000198746	GPATCH3	1	26990627	26990835	NA
ENSG00000090273	NUDC	1	26812752	26813029	NA
ENSG00000090273	NUDC	1	26849284	26849636	NA
ENSG00000090273	NUDC	1	26961813	26962207	NA
ENSG00000090273	NUDC	1	26999463	26999815	NA
ENSG00000090273	NUDC	1	26990627	26990835	NA
ENSG00000131910	NR0B2	1	26849284	26849636	NA
ENSG00000131910	NR0B2	1	26961813	26962207	NA
ENSG00000131910	NR0B2	1	26999463	26999815	NA
ENSG00000131910	NR0B2	1	26990627	26990835	NA
ENSG00000175707	KDF1	1	26999463	26999815	NA
ENSG00000175707	KDF1	1	26990627	26990835	NA
ENSG00000253368	TRNP1	1	26961813	26962207	NA
ENSG00000253368	TRNP1	1	26999463	26999815	NA
ENSG00000253368	TRNP1	1	26990627	26990835	NA
ENSG00000158246	TENT5B	1	26961813	26962207	NA
ENSG00000158246	TENT5B	1	26999463	26999815	NA
ENSG00000158246	TENT5B	1	26990627	26990835	NA
ENSG00000090020	SLC9A1	1	27145944	27146160	NA
ENSG00000142784	WDTC1	1	27145944	27146160	NA
ENSG00000142784	WDTC1	1	27299548	27299899	NA
ENSG00000186501	TMEM222	1	27299548	27299899	NA
ENSG00000142765	SYTL1	1	27299548	27299899	NA
ENSG00000142733	MAP3K6	1	27299548	27299899	NA
ENSG00000142748	FCN3	1	27299548	27299899	NA
ENSG00000174950	CD164L2	1	27299548	27299899	NA
ENSG00000181773	GPR3	1	27299548	27299899	NA
ENSG00000158195	WASF2	1	27542238	27542591	NA
ENSG00000126705	AHDC1	1	27542238	27542591	NA
ENSG00000000938	FGR	1	27542238	27542591	NA
ENSG00000204138	PHACTR4	1	28438154	28438396	NA
ENSG00000180198	RCC1	1	28438154	28438396	NA
ENSG00000121769	FABP3	1	31444912	31445179	NA
ENSG00000168528	SERINC2	1	31444912	31445179	NA
ENSG00000168528	SERINC2	1	31483461	31483666	NA
ENSG00000142910	TINAGL1	1	31483461	31483666	NA
ENSG00000134668	SPOCD1	1	31910981	31911251	NA
ENSG00000184007	PTP4A2	1	31910981	31911251	NA
ENSG00000254553	AL033529.1	1	32501933	32502280	NA
ENSG00000273274	ZBTB8B	1	32501933	32502280	NA
ENSG00000160062	ZBTB8A	1	32501933	32502280	NA
ENSG00000160094	ZNF362	1	33338844	33339110	NA
ENSG00000184389	A3GALT2	1	33338844	33339110	NA
ENSG00000134686	PHC2	1	33338844	33339110	NA
ENSG00000171812	COL8A2	1	36200024	36200487	NA
ENSG00000171812	COL8A2	1	36203844	36204571	NA
ENSG00000054116	TRAPPC3	1	36200024	36200487	NA
ENSG00000054116	TRAPPC3	1	36203844	36204571	NA
ENSG00000054116	TRAPPC3	1	36248644	36248817	NA
ENSG00000116871	MAP7D1	1	36200024	36200487	NA
ENSG00000116871	MAP7D1	1	36203844	36204571	NA
ENSG00000116871	MAP7D1	1	36248644	36248817	NA
ENSG00000054118	THRAP3	1	36200024	36200487	NA
ENSG00000054118	THRAP3	1	36203844	36204571	NA
ENSG00000054118	THRAP3	1	36248644	36248817	NA
ENSG00000214193	SH3D21	1	36248644	36248817	NA
ENSG00000142694	EVA1B	1	36248644	36248817	NA
ENSG00000163874	ZC3H12A	1	37461524	37462025	NA
ENSG00000163874	ZC3H12A	1	37455080	37455431	NA
ENSG00000163874	ZC3H12A	1	37479704	37480039	NA
ENSG00000163874	ZC3H12A	1	37471872	37472131	NA
ENSG00000163874	ZC3H12A	1	37499122	37499519	NA
ENSG00000163874	ZC3H12A	1	37507910	37508203	NA
ENSG00000163874	ZC3H12A	1	37534368	37534830	NA
ENSG00000163875	MEAF6	1	37461524	37462025	NA
ENSG00000163875	MEAF6	1	37455080	37455431	NA
ENSG00000163875	MEAF6	1	37479704	37480039	NA
ENSG00000163875	MEAF6	1	37471872	37472131	NA
ENSG00000163875	MEAF6	1	37499122	37499519	NA
ENSG00000163875	MEAF6	1	37507910	37508203	NA
ENSG00000163875	MEAF6	1	37534368	37534830	NA
ENSG00000163877	SNIP1	1	37461524	37462025	NA
ENSG00000163877	SNIP1	1	37455080	37455431	NA
ENSG00000163877	SNIP1	1	37479704	37480039	NA
ENSG00000163877	SNIP1	1	37471872	37472131	NA
ENSG00000163877	SNIP1	1	37499122	37499519	NA
ENSG00000163877	SNIP1	1	37507910	37508203	NA
ENSG00000163877	SNIP1	1	37534368	37534830	NA
ENSG00000163879	DNALI1	1	37461524	37462025	NA
ENSG00000163879	DNALI1	1	37479704	37480039	NA
ENSG00000163879	DNALI1	1	37471872	37472131	NA
ENSG00000163879	DNALI1	1	37499122	37499519	NA
ENSG00000163879	DNALI1	1	37507910	37508203	NA
ENSG00000163879	DNALI1	1	37534368	37534830	NA
ENSG00000134697	GNL2	1	37499122	37499519	NA
ENSG00000134697	GNL2	1	37507910	37508203	NA
ENSG00000134697	GNL2	1	37534368	37534830	NA
ENSG00000183317	EPHA10	1	37862416	37862778	NA
ENSG00000185090	MANEAL	1	37862416	37862778	NA
ENSG00000196449	YRDC	1	37862416	37862778	NA
ENSG00000197982	C1orf122	1	37862416	37862778	NA
ENSG00000188786	MTF1	1	37862416	37862778	NA
ENSG00000204084	INPP5B	1	37862416	37862778	NA
ENSG00000043514	TRIT1	1	39934305	39934689	NA
ENSG00000116990	MYCL	1	39934305	39934689	NA
ENSG00000168389	MFSD2A	1	39934305	39934689	NA
ENSG00000117013	KCNQ4	1	40868329	40868577	NA
ENSG00000117013	KCNQ4	1	40875718	40876031	NA
ENSG00000117013	KCNQ4	1	40866502	40866793	NA
ENSG00000179862	CITED4	1	40868329	40868577	NA
ENSG00000179862	CITED4	1	40875718	40876031	NA
ENSG00000179862	CITED4	1	40866502	40866793	NA
ENSG00000179862	CITED4	1	40944970	40945195	NA
ENSG00000179862	CITED4	1	40944454	40944717	NA
ENSG00000171793	CTPS1	1	40944970	40945195	NA
ENSG00000171793	CTPS1	1	40944454	40944717	NA
ENSG00000171793	CTPS1	1	40967862	40968166	NA
ENSG00000171793	CTPS1	1	40976853	40977240	NA
ENSG00000171790	SLFNL1	1	40944970	40945195	NA
ENSG00000171790	SLFNL1	1	40944454	40944717	NA
ENSG00000171790	SLFNL1	1	40967862	40968166	NA
ENSG00000171790	SLFNL1	1	40976853	40977240	NA
ENSG00000171790	SLFNL1	1	41109282	41109693	NA
ENSG00000171790	SLFNL1	1	41109747	41109904	NA
ENSG00000010803	SCMH1	1	41152548	41153084	NA
ENSG00000010803	SCMH1	1	41150851	41151279	NA
ENSG00000127129	EDN2	1	41496266	41496588	NA
ENSG00000127129	EDN2	1	41493133	41493363	NA
ENSG00000198815	FOXJ3	1	42312672	42312937	NA
ENSG00000177181	RIMKLA	1	42312672	42312937	NA
ENSG00000164011	ZNF691	1	42936468	42936756	NA
ENSG00000117394	SLC2A1	1	42936468	42936756	NA
ENSG00000117394	SLC2A1	1	42947267	42947522	NA
ENSG00000186973	FAM183A	1	43241451	43241710	NA
ENSG00000117395	EBNA1BP2	1	43241451	43241710	NA
ENSG00000243710	CFAP57	1	43241451	43241710	NA
ENSG00000179178	TMEM125	1	43241451	43241710	NA
ENSG00000253313	C1orf210	1	43241451	43241710	NA
ENSG00000066056	TIE1	1	43241451	43241710	NA
ENSG00000117400	MPL	1	43241451	43241710	NA
ENSG00000126091	ST3GAL3	1	43757768	43758047	NA
ENSG00000126091	ST3GAL3	1	43783713	43784220	NA
ENSG00000233674	AL451062.2	1	43757768	43758047	NA
ENSG00000233674	AL451062.2	1	43783713	43784220	NA
ENSG00000117419	ERI3	1	44327945	44328242	NA
ENSG00000187147	RNF220	1	44327945	44328242	NA
ENSG00000117461	PIK3R3	1	46084608	46084814	NA
ENSG00000117472	TSPAN1	1	46084608	46084814	NA
ENSG00000250719	P3R3URF	1	46084608	46084814	NA
ENSG00000159658	EFCAB14	1	46806711	46807008	NA
ENSG00000142973	CYP4B1	1	46806711	46807008	NA
ENSG00000186790	FOXE3	1	47478108	47478375	NA
ENSG00000186564	FOXD2	1	47478108	47478375	NA
ENSG00000186564	FOXD2	1	47525426	47525709	NA
ENSG00000269113	TRABD2B	1	47906094	47906293	NA
ENSG00000269113	TRABD2B	1	48047220	48047458	NA
ENSG00000123091	RNF11	1	51306888	51307248	NA
ENSG00000085831	TTC39A	1	51306888	51307248	NA
ENSG00000117859	OSBPL9	1	51622368	51622617	NA
ENSG00000116157	GPX7	1	52662727	52663086	NA
ENSG00000116157	GPX7	1	52665600	52666020	NA
ENSG00000116157	GPX7	1	52669608	52670021	NA
ENSG00000116157	GPX7	1	52658827	52659067	NA
ENSG00000182183	SHISAL2A	1	52662727	52663086	NA
ENSG00000182183	SHISAL2A	1	52665600	52666020	NA
ENSG00000182183	SHISAL2A	1	52669608	52670021	NA
ENSG00000182183	SHISAL2A	1	52658827	52659067	NA
ENSG00000162377	COA7	1	52662727	52663086	NA
ENSG00000162377	COA7	1	52665600	52666020	NA
ENSG00000162377	COA7	1	52669608	52670021	NA
ENSG00000162377	COA7	1	52658827	52659067	NA
ENSG00000162378	ZYG11B	1	52662727	52663086	NA
ENSG00000162378	ZYG11B	1	52665600	52666020	NA
ENSG00000162378	ZYG11B	1	52669608	52670021	NA
ENSG00000162378	ZYG11B	1	52658827	52659067	NA
ENSG00000006555	TTC22	1	54869287	54869511	NA
ENSG00000006555	TTC22	1	54883902	54884151	NA
ENSG00000162398	LEXM	1	54869287	54869511	NA
ENSG00000162398	LEXM	1	54883902	54884151	NA
ENSG00000116133	DHCR24	1	54869287	54869511	NA
ENSG00000116133	DHCR24	1	54883902	54884151	NA
ENSG00000143001	TMEM61	1	54883902	54884151	NA
ENSG00000142856	ITGB3BP	1	63674594	63674878	NA
ENSG00000142856	ITGB3BP	1	63691944	63692361	NA
ENSG00000079739	PGM1	1	63674594	63674878	NA
ENSG00000079739	PGM1	1	63691944	63692361	NA
ENSG00000185483	ROR1	1	63674594	63674878	NA
ENSG00000185483	ROR1	1	63691944	63692361	NA
ENSG00000185483	ROR1	1	63701210	63701453	NA
ENSG00000185483	ROR1	1	63731624	63732031	NA
ENSG00000162434	JAK1	1	64898091	64898575	NA
ENSG00000162434	JAK1	1	64898685	64898854	NA
ENSG00000162434	JAK1	1	64910608	64911045	NA
ENSG00000162434	JAK1	1	64915899	64916210	NA
ENSG00000162434	JAK1	1	64917392	64917796	NA
ENSG00000162434	JAK1	1	64955004	64955490	NA
ENSG00000162433	AK4	1	65153696	65153923	NA
ENSG00000116675	DNAJC6	1	65153696	65153923	NA
ENSG00000213625	LEPROT	1	65425785	65426086	NA
ENSG00000213625	LEPROT	1	65484488	65484681	NA
ENSG00000213625	LEPROT	1	65485663	65485884	NA
ENSG00000116678	LEPR	1	65425785	65426086	NA
ENSG00000116678	LEPR	1	65484488	65484681	NA
ENSG00000116678	LEPR	1	65485663	65485884	NA
ENSG00000152760	TCTEX1D1	1	66705160	66705311	NA
ENSG00000172410	INSL5	1	66705160	66705311	NA
ENSG00000116717	GADD45A	1	67668692	67668958	NA
ENSG00000116717	GADD45A	1	67736034	67736328	NA
ENSG00000116717	GADD45A	1	67749838	67750336	NA
ENSG00000116717	GADD45A	1	67747803	67748208	NA
ENSG00000172380	GNG12	1	67736034	67736328	NA
ENSG00000172380	GNG12	1	67749838	67750336	NA
ENSG00000172380	GNG12	1	67880180	67880590	NA
ENSG00000172380	GNG12	1	67747803	67748208	NA
ENSG00000162595	DIRAS3	1	67979141	67979497	NA
ENSG00000178965	ERICH3	1	74731373	74731801	NA
ENSG00000154007	ASB17	1	75965102	75965301	NA
ENSG00000077254	USP33	1	77833015	77833373	NA
ENSG00000180488	MIGA1	1	77833015	77833373	NA
ENSG00000162614	NEXN	1	77833015	77833373	NA
ENSG00000203943	SAMD13	1	84253976	84254300	NA
ENSG00000203943	SAMD13	1	84365642	84366175	NA
ENSG00000137976	DNASE2B	1	84365642	84366175	NA
ENSG00000153904	DDAH1	1	85607334	85607629	NA
ENSG00000153904	DDAH1	1	85629109	85629509	NA
ENSG00000153904	DDAH1	1	85629629	85629881	NA
ENSG00000153904	DDAH1	1	85656243	85656458	NA
ENSG00000142871	CCN1	1	85607334	85607629	NA
ENSG00000142871	CCN1	1	85629109	85629509	NA
ENSG00000142871	CCN1	1	85629629	85629881	NA
ENSG00000142871	CCN1	1	85656243	85656458	NA
ENSG00000117174	ZNHIT6	1	85629109	85629509	NA
ENSG00000117174	ZNHIT6	1	85629629	85629881	NA
ENSG00000117174	ZNHIT6	1	85656243	85656458	NA
ENSG00000097033	SH3GLB1	1	86773576	86773790	NA
ENSG00000097033	SH3GLB1	1	86788268	86789065	NA
ENSG00000097033	SH3GLB1	1	86793140	86793387	NA
ENSG00000171492	LRRC8D	1	89890176	89890486	NA
ENSG00000122482	ZNF644	1	91016210	91016468	NA
ENSG00000069702	TGFBR3	1	91817234	91817505	NA
ENSG00000069702	TGFBR3	1	91845018	91845378	NA
ENSG00000069702	TGFBR3	1	91891511	91891870	NA
ENSG00000069702	TGFBR3	1	91900603	91900864	NA
ENSG00000137948	BRDT	1	91891511	91891870	NA
ENSG00000137948	BRDT	1	91900603	91900864	NA
ENSG00000137936	BCAR3	1	93779588	93780025	NA
ENSG00000067334	DNTTIP2	1	93779588	93780025	NA
ENSG00000117528	ABCD3	1	94384095	94384334	NA
ENSG00000143036	SLC44A3	1	94743937	94744283	NA
ENSG00000143036	SLC44A3	1	94753269	94753644	NA
ENSG00000117519	CNN3	1	94942202	94942536	NA
ENSG00000172339	ALG14	1	95096227	95096646	NA
ENSG00000172339	ALG14	1	95115776	95116138	NA
ENSG00000188641	DPYD	1	97904612	97904916	NA
ENSG00000117543	DPH5	1	101004073	101004444	NA
ENSG00000116266	STXBP3	1	108828582	108828896	NA
ENSG00000116266	STXBP3	1	108829303	108829487	NA
ENSG00000121957	GPSM2	1	108828582	108828896	NA
ENSG00000121957	GPSM2	1	108829303	108829487	NA
ENSG00000184371	CSF1	1	109927994	109928278	NA
ENSG00000184371	CSF1	1	109948064	109948261	NA
ENSG00000184371	CSF1	1	109959999	109960200	NA
ENSG00000168710	AHCYL1	1	109927994	109928278	NA
ENSG00000168710	AHCYL1	1	109948064	109948261	NA
ENSG00000168710	AHCYL1	1	109959999	109960200	NA
ENSG00000143093	STRIP1	1	109948064	109948261	NA
ENSG00000143093	STRIP1	1	109959999	109960200	NA
ENSG00000116396	KCNC4	1	110292568	110292809	NA
ENSG00000162775	RBM15	1	110292568	110292809	NA
ENSG00000162775	RBM15	1	110424707	110424922	NA
ENSG00000168679	SLC16A4	1	110292568	110292809	NA
ENSG00000168679	SLC16A4	1	110424707	110424922	NA
ENSG00000134248	LAMTOR5	1	110424707	110424922	NA
ENSG00000143125	PROK1	1	110424707	110424922	NA
ENSG00000143105	KCNA10	1	110424707	110424922	NA
ENSG00000121933	TMIGD3	1	111656187	111656384	NA
ENSG00000197852	INKA2	1	111656187	111656384	NA
ENSG00000064703	DDX20	1	111656187	111656384	NA
ENSG00000134259	NGF	1	115430850	115431132	NA
ENSG00000163399	ATP1A1	1	116376408	116376802	NA
ENSG00000163399	ATP1A1	1	116377955	116378251	NA
ENSG00000116830	TTF2	1	117147885	117148079	NA
ENSG00000134253	TRIM45	1	117147885	117148079	NA
ENSG00000134258	VTCN1	1	117147885	117148079	NA
ENSG00000196505	GDAP2	1	117847056	117847436	NA
ENSG00000065183	WDR3	1	117847056	117847436	NA
ENSG00000203857	HSD3B1	1	119542503	119542945	NA
ENSG00000273136	NBPF26	1	120761141	120761344	NA
ENSG00000174827	PDZK1	1	145782423	145782712	NA
ENSG00000117281	CD160	1	145782423	145782712	NA
ENSG00000265491	RNF115	1	145782423	145782712	NA
ENSG00000265491	RNF115	1	145892023	145892453	NA
ENSG00000186141	POLR3C	1	145782423	145782712	NA
ENSG00000186141	POLR3C	1	145892023	145892453	NA
ENSG00000186364	NUDT17	1	145782423	145782712	NA
ENSG00000186364	NUDT17	1	145892023	145892453	NA
ENSG00000131788	PIAS3	1	145782423	145782712	NA
ENSG00000131788	PIAS3	1	145892023	145892453	NA
ENSG00000198483	ANKRD35	1	145892023	145892453	NA
ENSG00000143127	ITGA10	1	145892023	145892453	NA
ENSG00000143127	ITGA10	1	146007244	146007512	NA
ENSG00000143127	ITGA10	1	146005623	146005886	NA
ENSG00000131779	PEX11B	1	145892023	145892453	NA
ENSG00000131779	PEX11B	1	146007244	146007512	NA
ENSG00000131779	PEX11B	1	146005623	146005886	NA
ENSG00000265241	RBM8A	1	145892023	145892453	NA
ENSG00000265241	RBM8A	1	146007244	146007512	NA
