ensemblid	gene.name	chromosome	start_peak	end_peak	gene.regulation
ENSG00000113719	ERGIC1	5	172859046	172859246	up-top_ep300
ENSG00000113719	ERGIC1	5	172868999	172869600	up-top_ep300
ENSG00000113719	ERGIC1	5	172868528	172868885	up-top_ep300
ENSG00000113719	ERGIC1	5	172897511	172898090	up-top_ep300
ENSG00000113719	ERGIC1	5	172901080	172901624	up-top_ep300
ENSG00000113719	ERGIC1	5	172910976	172911437	up-top_ep300
ENSG00000113719	ERGIC1	5	172902723	172903220	up-top_ep300
ENSG00000113719	ERGIC1	5	172904700	172904959	up-top_ep300
ENSG00000113719	ERGIC1	5	172920251	172920756	up-top_ep300
ENSG00000113719	ERGIC1	5	172931243	172931494	up-top_ep300
ENSG00000113719	ERGIC1	5	172925344	172925457	up-top_ep300
ENSG00000113719	ERGIC1	5	172900044	172900495	up-top_ep300
ENSG00000113732	ATP6V0E1	5	172897511	172898090	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172901080	172901624	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172910976	172911437	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172902723	172903220	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172904700	172904959	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172920251	172920756	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172931243	172931494	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172925344	172925457	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172999662	173000015	down-top_ep300
ENSG00000113732	ATP6V0E1	5	173011627	173011906	down-top_ep300
ENSG00000113732	ATP6V0E1	5	172900044	172900495	down-top_ep300
ENSG00000129422	MTUS1	8	17700763	17700983	up-top_ep300
ENSG00000129422	MTUS1	8	17788830	17789067	up-top_ep300
ENSG00000129422	MTUS1	8	17794871	17795201	up-top_ep300
ENSG00000129422	MTUS1	8	17895851	17896471	up-top_ep300
ENSG00000168078	PBK	8	27872539	27873092	down-top_ep300
ENSG00000168078	PBK	8	27873440	27873708	down-top_ep300
ENSG00000169398	PTK2	8	141018622	141019247	up-top_ep300
ENSG00000169398	PTK2	8	141076009	141076369	up-top_ep300
ENSG00000105339	DENND3	8	141018622	141019247	up-top_ep300
ENSG00000105339	DENND3	8	141076009	141076369	up-top_ep300
ENSG00000105339	DENND3	8	141154159	141154423	up-top_ep300
ENSG00000022567	SLC45A4	8	141228501	141228815	up-top_ep300
ENSG00000022567	SLC45A4	8	141239342	141239862	up-top_ep300
ENSG00000022567	SLC45A4	8	141257399	141258044	up-top_ep300
ENSG00000022567	SLC45A4	8	141256943	141257293	up-top_ep300
ENSG00000198853	RUSC2	9	35470886	35471275	up-top_ep300
ENSG00000198853	RUSC2	9	35510967	35511537	up-top_ep300
ENSG00000198853	RUSC2	9	35518109	35518508	up-top_ep300
ENSG00000198853	RUSC2	9	35526409	35526718	up-top_ep300
ENSG00000107140	TESK1	9	35510967	35511537	up-top_ep300
ENSG00000107140	TESK1	9	35518109	35518508	up-top_ep300
ENSG00000107140	TESK1	9	35526409	35526718	up-top_ep300
ENSG00000148120	AOPEP	9	94783221	94783627	down-top_ep300
ENSG00000148120	AOPEP	9	94805575	94805855	down-top_ep300
ENSG00000187134	AKR1C1	10	4956945	4957272	down-top_ep300
ENSG00000187134	AKR1C1	10	5009070	5009527	down-top_ep300
ENSG00000187134	AKR1C1	10	5008648	5009015	down-top_ep300
ENSG00000187134	AKR1C1	10	5025361	5025827	down-top_ep300
ENSG00000187134	AKR1C1	10	5033496	5033705	down-top_ep300
ENSG00000196139	AKR1C3	10	4956945	4957272	down-top_ep300
ENSG00000196139	AKR1C3	10	5009070	5009527	down-top_ep300
ENSG00000196139	AKR1C3	10	5008648	5009015	down-top_ep300
ENSG00000196139	AKR1C3	10	5025361	5025827	down-top_ep300
ENSG00000196139	AKR1C3	10	5033496	5033705	down-top_ep300
ENSG00000196139	AKR1C3	10	5071398	5072145	down-top_ep300
ENSG00000196139	AKR1C3	10	5093292	5093627	down-top_ep300
ENSG00000204175	GPRIN2	10	46524107	46525094	up-top_ep300
ENSG00000204175	GPRIN2	10	46526666	46526949	up-top_ep300
ENSG00000204175	GPRIN2	10	46539975	46540187	up-top_ep300
ENSG00000204175	GPRIN2	10	46639990	46640406	up-top_ep300
ENSG00000204175	GPRIN2	10	46530255	46530650	up-top_ep300
ENSG00000138166	DUSP5	10	110399258	110399695	up-top_ep300
ENSG00000138166	DUSP5	10	110426269	110427023	up-top_ep300
ENSG00000138166	DUSP5	10	110429217	110429590	up-top_ep300
ENSG00000138166	DUSP5	10	110492462	110492634	up-top_ep300
ENSG00000182704	TSKU	11	76772397	76772905	up-top_ep300
ENSG00000182704	TSKU	11	76770570	76771290	up-top_ep300
ENSG00000182704	TSKU	11	76801850	76802208	up-top_ep300
ENSG00000182704	TSKU	11	76793594	76793831	up-top_ep300
ENSG00000167767	KRT80	12	52126475	52126933	down-top_ep300
ENSG00000167767	KRT80	12	52147314	52147782	down-top_ep300
ENSG00000167767	KRT80	12	52148628	52149016	down-top_ep300
ENSG00000167767	KRT80	12	52231750	52232135	down-top_ep300
ENSG00000167767	KRT80	12	52230346	52230595	down-top_ep300
ENSG00000167767	KRT80	12	52243193	52243417	down-top_ep300
ENSG00000167767	KRT80	12	52280240	52281230	down-top_ep300
ENSG00000167767	KRT80	12	52277776	52278018	down-top_ep300
ENSG00000167767	KRT80	12	52215602	52215867	down-top_ep300
ENSG00000135480	KRT7	12	52147314	52147782	up-top_ep300
ENSG00000135480	KRT7	12	52148628	52149016	up-top_ep300
ENSG00000135480	KRT7	12	52231750	52232135	up-top_ep300
ENSG00000135480	KRT7	12	52230346	52230595	up-top_ep300
ENSG00000135480	KRT7	12	52243193	52243417	up-top_ep300
ENSG00000135480	KRT7	12	52280240	52281230	up-top_ep300
ENSG00000135480	KRT7	12	52277776	52278018	up-top_ep300
ENSG00000135480	KRT7	12	52215602	52215867	up-top_ep300
ENSG00000151136	BTBD11	12	107344456	107344812	up-top_ep300
ENSG00000151136	BTBD11	12	107352042	107352696	up-top_ep300
ENSG00000151136	BTBD11	12	107348781	107349471	up-top_ep300
ENSG00000151136	BTBD11	12	107380169	107380576	up-top_ep300
ENSG00000135111	TBX3	12	114625565	114625888	down-top_ep300
ENSG00000135111	TBX3	12	114656022	114656595	down-top_ep300
ENSG00000119686	FLVCR2	14	75535809	75536368	up-top_ep300
ENSG00000119686	FLVCR2	14	75531631	75532101	up-top_ep300
ENSG00000119686	FLVCR2	14	75559807	75560202	up-top_ep300
ENSG00000119686	FLVCR2	14	75602701	75602890	up-top_ep300
ENSG00000119686	FLVCR2	14	75648434	75648812	up-top_ep300
ENSG00000181031	RPH3AL	17	348547	349063	up-top_ep300
ENSG00000181031	RPH3AL	17	350763	351164	up-top_ep300
ENSG00000181031	RPH3AL	17	352639	353415	up-top_ep300
ENSG00000187624	C17orf97	17	348547	349063	up-top_ep300
ENSG00000187624	C17orf97	17	350763	351164	up-top_ep300
ENSG00000187624	C17orf97	17	352639	353415	up-top_ep300
ENSG00000131747	TOP2A	17	40333911	40334102	down-top_ep300
ENSG00000131747	TOP2A	17	40486051	40486709	down-top_ep300
ENSG00000131747	TOP2A	17	40509902	40510654	down-top_ep300
ENSG00000131746	TNS4	17	40486051	40486709	up-top_ep300
ENSG00000131746	TNS4	17	40509902	40510654	up-top_ep300
ENSG00000131746	TNS4	17	40521540	40521905	up-top_ep300
ENSG00000131746	TNS4	17	40542478	40543127	up-top_ep300
ENSG00000131746	TNS4	17	40549188	40549746	up-top_ep300
ENSG00000131746	TNS4	17	40536785	40537118	up-top_ep300
ENSG00000131746	TNS4	17	40551828	40552304	up-top_ep300
ENSG00000131746	TNS4	17	40551217	40551487	up-top_ep300
ENSG00000131746	TNS4	17	40533855	40534083	up-top_ep300
ENSG00000108960	MMD	17	55433040	55433454	up-top_ep300
ENSG00000108960	MMD	17	55433734	55434105	up-top_ep300
ENSG00000108960	MMD	17	55454770	55455521	up-top_ep300
ENSG00000108960	MMD	17	55452495	55453009	up-top_ep300
ENSG00000108960	MMD	17	55496262	55496820	up-top_ep300
ENSG00000108960	MMD	17	55495301	55495625	up-top_ep300
ENSG00000062716	VMP1	17	59725779	59726025	up-top_ep300
ENSG00000062716	VMP1	17	59756163	59756734	up-top_ep300
ENSG00000062716	VMP1	17	59754569	59754929	up-top_ep300
ENSG00000062716	VMP1	17	59782838	59783337	up-top_ep300
ENSG00000062716	VMP1	17	59786525	59787246	up-top_ep300
ENSG00000108423	TUBD1	17	59814743	59815081	down-top_ep300
ENSG00000108423	TUBD1	17	59825470	59825955	down-top_ep300
ENSG00000108423	TUBD1	17	59829219	59829697	down-top_ep300
ENSG00000108423	TUBD1	17	59837304	59838057	down-top_ep300
ENSG00000108423	TUBD1	17	59846308	59846871	down-top_ep300
ENSG00000108423	TUBD1	17	59845367	59845936	down-top_ep300
ENSG00000108423	TUBD1	17	59853332	59853837	down-top_ep300
ENSG00000108423	TUBD1	17	59855688	59856003	down-top_ep300
ENSG00000108443	RPS6KB1	17	59814743	59815081	down-top_ep300
ENSG00000108443	RPS6KB1	17	59825470	59825955	down-top_ep300
ENSG00000108443	RPS6KB1	17	59829219	59829697	down-top_ep300
ENSG00000108443	RPS6KB1	17	59837304	59838057	down-top_ep300
ENSG00000108443	RPS6KB1	17	59846308	59846871	down-top_ep300
ENSG00000108443	RPS6KB1	17	59845367	59845936	down-top_ep300
ENSG00000108443	RPS6KB1	17	59853332	59853837	down-top_ep300
ENSG00000108443	RPS6KB1	17	59855688	59856003	down-top_ep300
ENSG00000108469	RECQL5	17	75679824	75680215	up-top_ep300
ENSG00000108469	RECQL5	17	75685091	75685349	up-top_ep300
ENSG00000108469	RECQL5	17	75700278	75700813	up-top_ep300
ENSG00000108469	RECQL5	17	75693568	75694198	up-top_ep300
ENSG00000259120	SMIM6	17	75549347	75549642	down-top_ep300
ENSG00000259120	SMIM6	17	75679824	75680215	down-top_ep300
ENSG00000259120	SMIM6	17	75685091	75685349	down-top_ep300
ENSG00000259120	SMIM6	17	75700278	75700813	down-top_ep300
ENSG00000259120	SMIM6	17	75693568	75694198	down-top_ep300
ENSG00000161526	SAP30BP	17	75679824	75680215	up-top_ep300
ENSG00000161526	SAP30BP	17	75685091	75685349	up-top_ep300
ENSG00000161526	SAP30BP	17	75700278	75700813	up-top_ep300
ENSG00000161526	SAP30BP	17	75693568	75694198	up-top_ep300
ENSG00000132470	ITGB4	17	75679824	75680215	up-top_ep300
ENSG00000132470	ITGB4	17	75685091	75685349	up-top_ep300
ENSG00000132470	ITGB4	17	75700278	75700813	up-top_ep300
ENSG00000132470	ITGB4	17	75693568	75694198	up-top_ep300
ENSG00000108479	GALK1	17	75679824	75680215	up-top_ep300
ENSG00000108479	GALK1	17	75685091	75685349	up-top_ep300
ENSG00000108479	GALK1	17	75700278	75700813	up-top_ep300
ENSG00000108479	GALK1	17	75693568	75694198	up-top_ep300
ENSG00000132478	UNK	17	75685091	75685349	down-top_ep300
ENSG00000132478	UNK	17	75700278	75700813	down-top_ep300
ENSG00000132478	UNK	17	75693568	75694198	down-top_ep300
ENSG00000167281	RBFOX3	17	79459983	79460338	up-top_ep300
ENSG00000167281	RBFOX3	17	79473296	79473910	up-top_ep300
ENSG00000167281	RBFOX3	17	79563696	79563938	up-top_ep300
ENSG00000125863	MKKS	20	10352291	10352777	down-top_ep300
ENSG00000125863	MKKS	20	10370408	10370750	down-top_ep300
ENSG00000125863	MKKS	20	10369871	10370183	down-top_ep300
ENSG00000125863	MKKS	20	10504884	10505303	down-top_ep300
ENSG00000125863	MKKS	20	10511462	10511798	down-top_ep300
ENSG00000197586	ENTPD6	20	25237680	25238283	up-top_ep300
ENSG00000197586	ENTPD6	20	25234494	25235172	up-top_ep300
ENSG00000197586	ENTPD6	20	25233515	25233726	up-top_ep300
ENSG00000197586	ENTPD6	20	25277867	25278263	up-top_ep300
ENSG00000197586	ENTPD6	20	25276668	25276896	up-top_ep300
ENSG00000100994	PYGB	20	25237680	25238283	up-top_ep300
ENSG00000100994	PYGB	20	25234494	25235172	up-top_ep300
ENSG00000100994	PYGB	20	25233515	25233726	up-top_ep300
ENSG00000100994	PYGB	20	25277867	25278263	up-top_ep300
ENSG00000100994	PYGB	20	25276668	25276896	up-top_ep300
ENSG00000100994	PYGB	20	25310337	25310817	up-top_ep300
ENSG00000100994	PYGB	20	25309361	25309770	up-top_ep300
ENSG00000100994	PYGB	20	25309053	25309309	up-top_ep300
ENSG00000101294	HM13	20	31572966	31573319	up-top_ep300
ENSG00000101294	HM13	20	31596064	31596590	up-top_ep300
ENSG00000101294	HM13	20	31595766	31595916	up-top_ep300
ENSG00000101294	HM13	20	31593281	31593615	up-top_ep300
ENSG00000101294	HM13	20	31610659	31611106	up-top_ep300
ENSG00000101294	HM13	20	31608603	31608886	up-top_ep300
ENSG00000125968	ID1	20	31572966	31573319	up-top_ep300
ENSG00000125968	ID1	20	31596064	31596590	up-top_ep300
ENSG00000125968	ID1	20	31595766	31595916	up-top_ep300
ENSG00000125968	ID1	20	31593281	31593615	up-top_ep300
ENSG00000125968	ID1	20	31610659	31611106	up-top_ep300
ENSG00000125968	ID1	20	31608603	31608886	up-top_ep300
ENSG00000125968	ID1	20	31696070	31696528	up-top_ep300
ENSG00000125968	ID1	20	31698985	31699406	up-top_ep300
ENSG00000125968	ID1	20	31704560	31704940	up-top_ep300
ENSG00000158470	B4GALT5	20	49688140	49688484	up-top_ep300
ENSG00000158470	B4GALT5	20	49768268	49768670	up-top_ep300
ENSG00000158470	B4GALT5	20	49772409	49772618	up-top_ep300
ENSG00000158470	B4GALT5	20	49790316	49790700	up-top_ep300
ENSG00000197818	SLC9A8	20	49768268	49768670	up-top_ep300
ENSG00000197818	SLC9A8	20	49772409	49772618	up-top_ep300
ENSG00000197818	SLC9A8	20	49790316	49790700	up-top_ep300
ENSG00000197818	SLC9A8	20	49832672	49832933	up-top_ep300
ENSG00000196396	PTPN1	20	50415548	50416034	down-top_ep300
ENSG00000196396	PTPN1	20	50423117	50423593	down-top_ep300
ENSG00000196396	PTPN1	20	50422444	50422893	down-top_ep300
ENSG00000196396	PTPN1	20	50418880	50419187	down-top_ep300
ENSG00000196396	PTPN1	20	50440516	50441259	down-top_ep300
ENSG00000196396	PTPN1	20	50442901	50443245	down-top_ep300
ENSG00000196396	PTPN1	20	50434746	50435041	down-top_ep300
ENSG00000196396	PTPN1	20	50469854	50470127	down-top_ep300
ENSG00000196396	PTPN1	20	50462326	50462722	down-top_ep300
