"Geneid" "ensemblid" "Length" "gene.name" "pvalue" "mean.expression" "fdr"
"ENSG00000177453.6" "ENSG00000177453" 3619 "NIM1K" 0.476888123799947 4.52173913043478 1
"ENSG00000213213.12" "ENSG00000213213" 2964 "CCDC183" 0.31929214034849 6.89130434782609 1
"ENSG00000228477.1" "ENSG00000228477" 725 "AL663070.1" 0.331988038477597 9.19565217391304 1
"ENSG00000231903.1" "ENSG00000231903" 311 "AC079354.2" 0.0163242831317913 3.89130434782609 0.24314517764656
"ENSG00000252349.1" "ENSG00000252349" 91 "RF00322" 0.244711079196391 5.43478260869565 0.920103541432415
"ENSG00000269246.1" "ENSG00000269246" 173 "AC011445.2" 0.347908762089404 3.10869565217391 1
"ENSG00000275198.1" "ENSG00000275198" 4609 "AL512791.2" 0.123729574119324 10.4565217391304 0.709071047134645
"ENSG00000149599.14" "ENSG00000149599" 3791 "DUSP15" 0.964878488774697 5.56521739130435 1
"ENSG00000105649.8" "ENSG00000105649" 1818 "RAB3A" 0.146604202394585 7.8695652173913 0.767046883514851
"ENSG00000232977.5" "ENSG00000232977" 3266 "LINC00327" 0.33416690000503 3.04347826086957 1
"ENSG00000238069.1" "ENSG00000238069" 667 "RPLP0P7" 0.372008072856359 3.10869565217391 1
"ENSG00000235776.2" "ENSG00000235776" 801 "AC000089.1" 0.133504081425207 7.82608695652174 0.738262767205276
"ENSG00000242706.2" "ENSG00000242706" 438 "RPS27AP9" 0.179237467623215 3.10869565217391 0.824249980347941
"ENSG00000237793.3" "ENSG00000237793" 531 "RPL18AP16" 0.0879425314383197 4.47826086956522 0.604238610032715
"ENSG00000257038.1" "ENSG00000257038" 1695 "AP002761.3" 0.506353214886035 5.8695652173913 1
"ENSG00000240371.1" "ENSG00000240371" 789 "RPS4XP13" 0.308884499013837 6.19565217391304 1
"ENSG00000089692.7" "ENSG00000089692" 3056 "LAG3" 0.157006497902055 14.5869565217391 0.792540812269235
"ENSG00000226314.6" "ENSG00000226314" 2535 "ZNF192P1" 0.0182480677172525 3.76086956521739 0.260183375705464
"ENSG00000278963.1" "ENSG00000278963" 2151 "AC005921.3" 0.237350027407649 7.15217391304348 0.917000428469936
"ENSG00000214659.4" "ENSG00000214659" 1276 "KRT8P26" 0.0297947877225477 5.5 0.35114539084623
"ENSG00000248415.1" "ENSG00000248415" 1005 "GAPDHP61" 0.0582420889192105 12.1739130434783 0.489118727554116
"ENSG00000278383.1" "ENSG00000278383" 466 "AL031673.1" 0.2265521210104 10.5 0.897233625921428
"ENSG00000270025.2" "ENSG00000270025" 1052 "BMS1P7" 0.643455580058069 4.5 1
"ENSG00000277806.1" "ENSG00000277806" 634 "AC006213.4" 0.149654390213505 13.6086956521739 0.773806980753319
"ENSG00000238247.1" "ENSG00000238247" 1541 "AC006210.2" 0.456691628326448 4.47826086956522 1
"ENSG00000275413.1" "ENSG00000275413" 331 "AC002553.2" 0.19503858321096 6.56521739130435 0.845672231760095
"ENSG00000169071.13" "ENSG00000169071" 5818 "ROR2" 0.00768901310702847 11.5217391304348 0.147433849864561
"ENSG00000254759.1" "ENSG00000254759" 1063 "NAP1L1P1" 0.141495450356627 14.8695652173913 0.757150173979413
"ENSG00000242616.3" "ENSG00000242616" 1491 "GNG10" 0.115675808062075 9.02173913043478 0.688082208794107
"ENSG00000281445.1" "ENSG00000281445" 590 NA 0.455282747073602 6.89130434782609 1
"ENSG00000176641.9" "ENSG00000176641" 10632 "RNF152" 0.0392009880945808 5.8695652173913 0.413197945362724
"ENSG00000166126.9" "ENSG00000166126" 4646 "AMN" 0.0781594858121724 15.8913043478261 0.569145217960224
"ENSG00000136944.16" "ENSG00000136944" 5830 "LMX1B" 0.635344696793184 28.0217391304348 1
"ENSG00000130748.6" "ENSG00000130748" 663 "TMEM160" 0.0361304676372022 20.2391304347826 0.395239478043208
"ENSG00000189223.12" "ENSG00000189223" 16398 "PAX8-AS1" 0.590851991839313 59.5434782608696 1
"ENSG00000169989.2" "ENSG00000169989" 2472 "TIGD4" 0.380411387037067 20.7826086956522 1
"ENSG00000150667.6" "ENSG00000150667" 2951 "FSIP1" 0.0885275227086103 45.5652173913044 0.605803898112923
"ENSG00000138111.13" "ENSG00000138111" 3526 "MFSD13A" 0.920402375463084 61.7826086956522 1
"ENSG00000245317.2" "ENSG00000245317" 1454 "AC008393.1" 0.503921374610064 39.0652173913044 1
"ENSG00000280208.1" "ENSG00000280208" 1708 "GGT4P" 0.149915627869592 57.9130434782609 0.77453623305999
"ENSG00000244398.1" "ENSG00000244398" 321 "AC116533.1" 0.283745394680287 38.6086956521739 0.975862842307464
"ENSG00000153404.12" "ENSG00000153404" 12203 "PLEKHG4B" 0.226651982950182 25.0434782608696 0.897346314768839
"ENSG00000172031.6" "ENSG00000172031" 2251 "EPHX4" 0.00918984486909714 16.6521739130435 0.166715473070667
"ENSG00000176732.6" "ENSG00000176732" 1056 "PFN4" 0.0368630378534641 29.195652173913 0.399925940536515
"ENSG00000132330.15" "ENSG00000132330" 11733 "SCLY" 0.0155878252575024 58.0434782608696 0.236053689296324
"ENSG00000122386.9" "ENSG00000122386" 2330 "ZNF205" 0.587166123356572 38.8695652173913 1
"ENSG00000117480.14" "ENSG00000117480" 2776 "FAAH" 0.78871187289196 33.3478260869565 1
"ENSG00000226887.6" "ENSG00000226887" 4077 "ERVMER34-1" 0.00958663968470449 33.4782608695652 0.171385579565047
"ENSG00000124615.16" "ENSG00000124615" 5174 "MOCS1" 0.560693023862518 55.0434782608696 1
"ENSG00000258102.2" "ENSG00000258102" 1767 "MAP1LC3B2" 0.10993261590411 23.6521739130435 0.672025918422521
"ENSG00000233913.7" "ENSG00000233913" 645 "RPL10P9" 0.137991313897876 27.4130434782609 0.749770610508268
"ENSG00000263843.1" "ENSG00000263843" 2527 "AC022211.2" 0.0122920341987383 18.6739130434783 0.202414122401944
"ENSG00000095637.19" "ENSG00000095637" 10819 "SORBS1" 0.627803095440495 29.9782608695652 1
"ENSG00000156427.7" "ENSG00000156427" 1986 "FGF18" 0.615743448973988 34.4782608695652 1
"ENSG00000233223.2" "ENSG00000233223" 1058 "AC016876.1" 0.0187506374927746 46.6739130434783 0.26472801294946
"ENSG00000132522.14" "ENSG00000132522" 3089 "GPS2" 0.931964783575183 40.2173913043478 1
"ENSG00000140450.8" "ENSG00000140450" 4072 "ARRDC4" 0.106231095448606 30.7391304347826 0.659330461366655
"ENSG00000235919.4" "ENSG00000235919" 1209 "ASH1L-AS1" 0.713405957349535 22.6304347826087 1
"ENSG00000270210.1" "ENSG00000270210" 775 "AC104695.3" 0.00940255324965586 28.3695652173913 0.169311643006139
"ENSG00000205795.4" "ENSG00000205795" 2847 "CYS1" 0.0626162921996507 34.4130434782609 0.508620717602251
"ENSG00000147166.9" "ENSG00000147166" 2201 "ITGB1BP2" 0.13644579922923 19.4347826086957 0.745314514786129
"ENSG00000103269.12" "ENSG00000103269" 1884 "RHBDL1" 0.105684133221124 17.8478260869565 0.657960791136035
"ENSG00000279602.1" "ENSG00000279602" 1321 "AC109326.1" 0.0751446755729916 21.3478260869565 0.557765846986802
"ENSG00000136235.14" "ENSG00000136235" 5956 "GPNMB" 0.15087281828981 61.3478260869565 0.777145347353309
"ENSG00000203497.2" "ENSG00000203497" 778 "PDCD4-AS1" 0.835478607382221 30.7608695652174 1
"ENSG00000104888.8" "ENSG00000104888" 6013 "SLC17A7" 0.182726810237114 20.0652173913043 0.832256817389682
"ENSG00000236824.1" "ENSG00000236824" 13458 "BCYRN1" 0.43309367366692 23.5652173913043 1
"ENSG00000215895.4" "ENSG00000215895" 1960 "AL354702.1" 0.663160093900161 33.5652173913044 1
"ENSG00000248015.5" "ENSG00000248015" 3571 "AC005329.1" 0.0495284450160025 24.9347826086957 0.467701629961417
"ENSG00000185730.6" "ENSG00000185730" 4012 "ZNF696" 0.153650384638745 61.5652173913044 0.78467833326238
"ENSG00000163406.9" "ENSG00000163406" 6210 "SLC15A2" 0.542098583643645 15.304347826087 1
"ENSG00000183401.10" "ENSG00000183401" 4064 "CCDC159" 0.233367676009269 33.8260869565217 0.909457290468339
"ENSG00000263013.1" "ENSG00000263013" 1159 NA 0.882002290939689 34.4130434782609 1
"ENSG00000246089.3" "ENSG00000246089" 2934 "AC016065.1" 0.369436744968329 49.695652173913 1
"ENSG00000228265.4" "ENSG00000228265" 1207 NA 0.0358166460555466 15.4347826086957 0.393331444650546
"ENSG00000232434.2" "ENSG00000232434" 4387 "AJM1" 0.648900798586463 53.7826086956522 1
"ENSG00000272644.1" "ENSG00000272644" 456 "AC097468.3" 0.250205204507656 35.3260869565217 0.920103541432415
"ENSG00000277938.1" "ENSG00000277938" 2784 "AL035252.3" 0.116270243418156 29.8260869565217 0.689121789754188
"ENSG00000213740.2" "ENSG00000213740" 1160 "SERBP1P1" 0.150635408343811 16.6086956521739 0.776319137939564
"ENSG00000146677.7" "ENSG00000146677" 408 "AC004453.1" 0.0716815529839058 30.0434782608696 0.542685613859754
"ENSG00000259248.4" "ENSG00000259248" 3624 "USP3-AS1" 0.600283038670261 16.1521739130435 1
"ENSG00000197847.11" "ENSG00000197847" 3983 "SLC22A20P" 0.14943680763537 16.0652173913043 0.773263988447916
"ENSG00000230982.1" "ENSG00000230982" 465 "DSTNP1" 0.956403611528425 18.5869565217391 1
"ENSG00000188004.8" "ENSG00000188004" 2501 "SNHG28" 0.939492812662118 39.5217391304348 1
"ENSG00000235453.6" "ENSG00000235453" 1885 "SMIM27" 0.0799672864070173 25.3695652173913 0.574916853377026
"ENSG00000177459.9" "ENSG00000177459" 1761 "ERICH5" 0.37092349485922 61.804347826087 1
"ENSG00000280161.1" "ENSG00000280161" 984 "AC022413.1" 0.649057703269772 24.8913043478261 1
"ENSG00000261884.2" "ENSG00000261884" 5685 "AC040162.1" 0.149014654892229 19.6304347826087 0.77230294410245
"ENSG00000279880.1" "ENSG00000279880" 2139 "AC134407.3" 0.779436991470572 22.7173913043478 1
"ENSG00000179240.7" "ENSG00000179240" 10972 "GVQW3" 0.116079479822314 41.9130434782609 0.688857454679454
"ENSG00000279108.1" "ENSG00000279108" 1881 "AC008537.3" 0.879588640569323 48.4565217391304 1
"ENSG00000274349.3" "ENSG00000274349" 4843 "ZNF658" 0.546768757198124 56.3913043478261 1
"ENSG00000187736.11" "ENSG00000187736" 3109 "NHEJ1" 0.751792146057225 23.8260869565217 1
"ENSG00000253953.2" "ENSG00000253953" 6906 "PCDHGB4" 0.0926220070525234 40.6304347826087 0.621346146024598
"ENSG00000274427.1" "ENSG00000274427" 239 "AC145423.2" 0.463553290158532 39.2173913043478 1
"ENSG00000163508.11" "ENSG00000163508" 3656 "EOMES" 0.00695267079119935 17.1304347826087 0.137604184379617
"ENSG00000186976.13" "ENSG00000186976" 8557 "EFCAB6" 0.010624401301853 25.1086956521739 0.183389173498852
"ENSG00000005961.16" "ENSG00000005961" 5551 "ITGA2B" 0.312939133407714 54.1086956521739 1
"ENSG00000236397.3" "ENSG00000236397" 1398 "DDX11L2" 0.374431462147215 25.2826086956522 1
"ENSG00000246922.7" "ENSG00000246922" 8536 "UBAP1L" 0.693752319718601 43.2608695652174 1
"ENSG00000178878.11" "ENSG00000178878" 7243 "APOLD1" 0.0382384514782673 22.4782608695652 0.407681343338629
"ENSG00000265273.1" "ENSG00000265273" 1441 "PGDP1" 0.545615686491892 24.0869565217391 1
"ENSG00000204540.9" "ENSG00000204540" 5781 "PSORS1C1" 0.00938471074066386 28.4130434782609 0.169084140520576
"ENSG00000136449.12" "ENSG00000136449" 6515 "MYCBPAP" 0.0204379037483184 23.9347826086957 0.280106202942457
"ENSG00000272758.4" "ENSG00000272758" 2891 "AC083798.2" 0.0310534868422281 32.8260869565217 0.360639025475899
"ENSG00000176845.11" "ENSG00000176845" 2626 "METRNL" 0.580831954643431 43.5 1
"ENSG00000158427.13" "ENSG00000158427" 5525 "TMSB15B" 0.0587572253624078 19.0869565217391 0.491673113114902
"ENSG00000278576.1" "ENSG00000278576" 3178 "AL162171.4" 0.281860059368333 18.7391304347826 0.975699091590067
"ENSG00000176927.13" "ENSG00000176927" 6928 "EFCAB5" 0.0343700153818452 15.2391304347826 0.384038729048613
"ENSG00000127589.4" "ENSG00000127589" 1646 "TUBBP1" 0.0225979453326735 44.5869565217391 0.297322498924536
"ENSG00000223551.1" "ENSG00000223551" 618 "TMSB4XP4" 0.0544589087400383 44.6521739130435 0.481660338241549
"ENSG00000214199.3" "ENSG00000214199" 1346 "EEF1A1P12" 0.0226474698660726 44.6086956521739 0.297820680064485
"ENSG00000076258.8" "ENSG00000076258" 2517 "FMO4" 0.0219088732646017 15.0434782608696 0.291952493089787
"ENSG00000100987.13" "ENSG00000100987" 3849 "VSX1" 0.854173329199576 23.4565217391304 1
"ENSG00000138172.9" "ENSG00000138172" 3108 "CALHM2" 0.506202746016357 25.5217391304348 1
"ENSG00000157429.14" "ENSG00000157429" 9225 "ZNF19" 0.546284088745365 45.8695652173913 1
"ENSG00000256940.1" "ENSG00000256940" 597 "AP001453.2" 0.44489760604261 49.0434782608696 1
"ENSG00000225206.5" "ENSG00000225206" 4746 "MIR137HG" 0.131880401528139 34.804347826087 0.733371030197414
"ENSG00000176490.4" "ENSG00000176490" 3485 "DIRAS1" 0.0242013835752057 59.4347826086956 0.309660340080409
"ENSG00000227615.1" "ENSG00000227615" 399 "AP001324.1" 0.0866226988896005 18.804347826087 0.598800333479213
"ENSG00000156500.13" "ENSG00000156500" 5894 "FAM122C" 0.0581246777533524 29.3695652173913 0.488746682129294
"ENSG00000198535.5" "ENSG00000198535" 3445 "C2CD4A" 0.00545881635801888 17.9565217391304 0.116419460430908
"ENSG00000183426.14" "ENSG00000183426" 7340 "NPIPA1" 0.0157367570519063 51.304347826087 0.237713855337274
"ENSG00000163064.6" "ENSG00000163064" 2886 "EN1" 0.13882771877726 20.304347826087 0.751748130024418
"ENSG00000198093.9" "ENSG00000198093" 4365 "ZNF649" 0.351810175812029 16.8913043478261 1
"ENSG00000133083.13" "ENSG00000133083" 14375 "DCLK1" 0.135031320445979 17.1521739130435 0.742863591794581
"ENSG00000261126.6" "ENSG00000261126" 6623 "RBFADN" 0.825480712148396 20.0652173913043 1
"ENSG00000271851.1" "ENSG00000271851" 2374 "AC087501.4" 0.448524532033646 58.7391304347826 1
"ENSG00000242294.5" "ENSG00000242294" 2804 "STAG3L5P" 0.566497404230321 47.5 1
"ENSG00000188916.7" "ENSG00000188916" 4407 "INSYN2A" 0.243880002557805 35.0217391304348 0.920103541432415
"ENSG00000119782.12" "ENSG00000119782" 1677 "FKBP1B" 0.0603559292907294 49.0869565217391 0.499013752971484
"ENSG00000151006.7" "ENSG00000151006" 5501 "PRSS53" 0.567803327619017 16.804347826087 1
"ENSG00000280138.1" "ENSG00000280138" 18662 "AC027290.2" 0.0378388940775316 26.695652173913 0.405678651241697
"ENSG00000266967.5" "ENSG00000266967" 3704 "AARSD1" 0.062906640583221 57.2826086956522 0.509752721631702
"ENSG00000176692.5" "ENSG00000176692" 2478 "FOXC2" 0.231639498061681 35.9565217391304 0.90663636583606
"ENSG00000224420.3" "ENSG00000224420" 1718 "ADM5" 0.280659268452994 25.5217391304348 0.974448069768898
"ENSG00000225434.2" "ENSG00000225434" 2458 "LINC01504" 0.106689113436193 31.6304347826087 0.661138248961707
"ENSG00000261069.3" "ENSG00000261069" 1236 "AC124312.3" 0.784477111673805 30.1086956521739 1
"ENSG00000245205.3" "ENSG00000245205" 1405 "EEF1A1P4" 0.0905818077409646 58.7608695652174 0.613568985663681
"ENSG00000227540.1" "ENSG00000227540" 940 "AC016394.1" 0.0464788005423817 45.4347826086956 0.455251383514959
"ENSG00000183458.12" "ENSG00000183458" 6830 "AC138932.1" 0.148636431436827 16.0434782608696 0.771858032612537
"ENSG00000272077.1" "ENSG00000272077" 1953 "AC124045.1" 0.132921530701692 24.5 0.737027222353358
"ENSG00000214719.10" "ENSG00000214719" 6036 "AC005562.1" 0.0270098821490286 44.2391304347826 0.33156864258569
"ENSG00000142552.6" "ENSG00000142552" 2093 "RCN3" 0.0310223635758799 26 0.360485228849173
"ENSG00000115226.8" "ENSG00000115226" 1982 "FNDC4" 0.565659807330286 23.9130434782609 1
"ENSG00000167711.12" "ENSG00000167711" 2348 "SERPINF2" 0.207628655580133 47.8913043478261 0.858065007006044
"ENSG00000259366.1" "ENSG00000259366" 552 "AC108449.2" 0.735845506195408 48 1
"ENSG00000281183.1" "ENSG00000281183" 2283 "NPTN-IT1" 0.18595936589924 39.2173913043478 0.839983594300504
"ENSG00000176438.11" "ENSG00000176438" 18164 "SYNE3" 0.110910519395658 15.7173913043478 0.675592072165021
"ENSG00000272455.1" "ENSG00000272455" 1523 "AL391244.2" 0.341794924301247 27.8260869565217 1
"ENSG00000176046.8" "ENSG00000176046" 5674 "NUPR1" 0.598414135285529 44 1
"ENSG00000149016.14" "ENSG00000149016" 4082 "TUT1" 0.107882462699855 59.6086956521739 0.664811212548959
"ENSG00000159399.8" "ENSG00000159399" 6064 "HK2" 0.113555597720587 32.4347826086956 0.68258628671579
"ENSG00000182218.8" "ENSG00000182218" 7836 "HHIPL1" 0.304269236019155 22 1
"ENSG00000197483.9" "ENSG00000197483" 3851 "ZNF628" 0.0102016465697689 37.1304347826087 0.178537670566937
"ENSG00000279522.1" "ENSG00000279522" 1599 NA 0.542182047848585 28.3695652173913 1
"ENSG00000233382.6" "ENSG00000233382" 3222 "NKAPP1" 0.721668055740363 21.9782608695652 1
"ENSG00000006638.10" "ENSG00000006638" 2793 "TBXA2R" 0.839306991025484 23 1
"ENSG00000159239.10" "ENSG00000159239" 2995 "AC005041.1" 0.00740215650758436 49.7173913043478 0.143747948185885
"ENSG00000168490.12" "ENSG00000168490" 4170 "PHYHIP" 0.988270897401418 15.8913043478261 1
"ENSG00000223508.5" "ENSG00000223508" 1023 "RPL23AP53" 0.227904396351955 55.4782608695652 0.898790583770448
"ENSG00000103472.8" "ENSG00000103472" 2341 "RRN3P2" 0.360604778586295 16.195652173913 1
"ENSG00000156466.9" "ENSG00000156466" 3701 "GDF6" 0.992731062811065 21.6304347826087 1
"ENSG00000160460.14" "ENSG00000160460" 11549 "SPTBN4" 0.723567451080012 23.7826086956522 1
"ENSG00000258472.7" "ENSG00000258472" 3218 "AC005726.1" 0.0929331106383916 20.8913043478261 0.62253553336381
"ENSG00000258768.2" "ENSG00000258768" 3829 "AL356019.2" 0.203168566707799 24.7173913043478 0.851340198156284
"ENSG00000204956.5" "ENSG00000204956" 6252 "PCDHGA1" 0.328892903556398 21.8695652173913 1
"ENSG00000141540.9" "ENSG00000141540" 5375 "TTYH2" 0.368812360599181 27.8695652173913 1
"ENSG00000260230.2" "ENSG00000260230" 8197 "FRRS1L" 0.337311828771556 104.804347826087 1
"ENSG00000259943.1" "ENSG00000259943" 1541 "AL050341.2" 0.901387043443875 65.1086956521739 1
"ENSG00000133983.13" "ENSG00000133983" 1863 "COX16" 0.436353008778007 170.739130434783 1
"ENSG00000116691.9" "ENSG00000116691" 2821 "MIIP" 0.80182284245968 116.239130434783 1
"ENSG00000176532.3" "ENSG00000176532" 1982 "PRR15" 0.00440326767444103 64.0869565217391 0.100879863164097
"ENSG00000196453.7" "ENSG00000196453" 3233 "ZNF777" 0.745636625635034 246.782608695652 1
"ENSG00000240891.5" "ENSG00000240891" 2927 "PLCXD2" 0.140553980110783 127.673913043478 0.754984580731838
"ENSG00000120913.22" "ENSG00000120913" 12388 "PDLIM2" 0.023883721406097 229.326086956522 0.306989842957109
"ENSG00000131591.16" "ENSG00000131591" 6322 "C1orf159" 0.0365303135625148 89.7173913043478 0.397886359661729
"ENSG00000077463.13" "ENSG00000077463" 2787 "AC016586.1" 0.0441494459339896 175.108695652174 0.443348985293956
"ENSG00000146678.8" "ENSG00000146678" 1653 "IGFBP1" 0.0378426822463446 208.065217391304 0.405678651241697
"ENSG00000257027.1" "ENSG00000257027" 2508 "AC010186.3" 0.0046055016375488 67.0217391304348 0.104249459410129
"ENSG00000264885.1" "ENSG00000264885" 1833 NA 0.0417235633887659 70.2391304347826 0.428813302369197
"ENSG00000130517.12" "ENSG00000130517" 7520 "PGPEP1" 0.33987342616489 225.717391304348 1
"ENSG00000181458.9" "ENSG00000181458" 6005 "TMEM45A" 0.711056194380127 139.586956521739 1
"ENSG00000100319.12" "ENSG00000100319" 3200 "ZMAT5" 0.338316037560011 106.04347826087 1
"ENSG00000130479.9" "ENSG00000130479" 5040 "MAP1S" 0.241034345663608 158.847826086957 0.920103541432415
"ENSG00000164897.11" "ENSG00000164897" 2005 "TMUB1" 0.5283357055126 166.347826086957 1
"ENSG00000248124.6" "ENSG00000248124" 5253 "RRN3P1" 0.861231899903772 130.630434782609 1
"ENSG00000248508.5" "ENSG00000248508" 2992 "SRP14-AS1" 0.87304846690158 80.1304347826087 1
"ENSG00000127580.14" "ENSG00000127580" 3570 "WDR24" 0.261473756979652 159.652173913043 0.937057370587208
"ENSG00000138347.14" "ENSG00000138347" 7060 "MYPN" 0.0150379253138666 185.978260869565 0.230097685242305
"ENSG00000228451.3" "ENSG00000228451" 3174 "SDAD1P1" 0.0726936568129031 90.6304347826087 0.546857020524231
"ENSG00000144182.15" "ENSG00000144182" 2279 "LIPT1" 0.0979945202839893 80.5 0.638568251263569
"ENSG00000063438.15" "ENSG00000063438" 7678 "AHRR" 0.0498139384747082 63.695652173913 0.46850652860265
"ENSG00000114923.15" "ENSG00000114923" 5091 "SLC4A3" 0.0219098319550046 81.6739130434783 0.291952493089787
"ENSG00000197016.10" "ENSG00000197016" 9627 "ZNF470" 0.593720037840374 187.739130434783 1
"ENSG00000130332.13" "ENSG00000130332" 1698 "LSM7" 0.198146257602392 196.130434782609 0.845672231760095
"ENSG00000185420.17" "ENSG00000185420" 5752 "SMYD3" 0.873762150924429 104.195652173913 1
"ENSG00000197106.6" "ENSG00000197106" 6644 "SLC6A17" 0.0466099116559221 91.6521739130435 0.455875926612148
"ENSG00000142235.7" "ENSG00000142235" 5163 "LMTK3" 0.216079664089968 123.478260869565 0.87403350626875
