""	chromosome	start	end	genename
"145"	17	67367281	67387282	PITPNC1
"146"	20	38156578	38176579	TGM2
"147"	9	122219626	122239627	LHX6
"148"	5	154468227	154488228	HAND1
"149"	14	77106568	77126569	TMEM63C
"150"	20	35597562	35617563	FER1L4
"151"	14	22819820	22839821	SLC7A7
"152"	12	13377167	13397168	LINC01559
"153"	10	97703173	97723174	MARVELD1
"154"	2	216685549	216705550	IGFBP5
"155"	19	18264509	18284510	IQCN
"156"	4	128560531	128580532	AC078850.1
"157"	11	112165467	112185468	BCO2
"158"	5	76393285	76413286	IQGAP2
"159"	16	10439747	10459748	AC131649.2
"160"	17	40465289	40485290	AC018629.1
"161"	22	35390134	35410135	MCM5
"162"	11	45837118	45857119	CRY2
"163"	16	4950741	4970742	PPL
"164"	3	152259557	152279558	MBNL1-AS1
"165"	9	97491180	97511181	TMOD1
"166"	15	34785726	34805727	ACTC1
"167"	4	154552956	154572957	FGB
"168"	1	22700839	22720840	EPHB2
"169"	14	75568620	75588621	FLVCR2
"170"	12	32886840	32906841	PKP2
"171"	X	152627895	152647896	GABRQ
"172"	11	33690801	33710802	C11orf91
"173"	22	26636411	26656412	MIAT
"174"	20	33676385	33696386	E2F1
"175"	19	4392640	4412641	CHAF1A
"176"	5	81741797	81761798	SSBP2
"177"	3	157523619	157543620	VEPH1
"178"	19	9926552	9946553	OLFM2
"179"	12	21516296	21536297	SPX
"180"	16	89603308	89623309	DPEP1
"181"	11	61882051	61902052	FADS3
"182"	17	39215945	39235946	STAC2
"183"	2	10901934	10921935	KCNF1
"184"	1	143726066	143746067	AC239800.2
"185"	2	101242866	101262867	TBC1D8
"186"	16	48237568	48257569	ABCC11
"187"	11	119371711	119391712	USP2
"188"	6	41744109	41764110	PGC
"189"	8	35225475	35245476	UNC5D
"190"	20	25238085	25258086	PYGB
"191"	14	103512833	103532834	CKB
"192"	7	2344318	2364319	SNX8
"193"	15	65035387	65055388	SLC51B
"194"	6	88156359	88176360	CNR1
"195"	11	57587387	57607388	SERPING1
"196"	7	98860771	98880772	TMEM130
"197"	9	128872494	128892495	KYAT1
"198"	12	52939954	52959955	KRT8
"199"	15	45621148	45641149	SQOR
"200"	X	109992631	110012632	TMEM164
"201"	4	144636156	144656157	HHIP
"202"	2	206208047	206228048	GPR1
"203"	8	27301482	27321483	PTK2B
"204"	14	91937987	91957988	FBLN5
"205"	17	76858456	76878457	MGAT5B
"206"	2	121275202	121295203	TFCP2L1
"207"	22	30683782	30703783	OSBP2
"208"	6	134288695	134308696	KRT8P42
"209"	2	219268170	219288171	TUBA4A
"210"	14	100577413	100597414	BEGAIN
"211"	17	69131895	69151896	ABCA6
"212"	3	127588410	127608411	MCM2
"213"	12	107308421	107328422	BTBD11
"214"	17	34164964	34184965	ASIC2
"215"	2	222308653	222328654	AC010980.1
"216"	4	4338140	4358141	NSG1
"217"	16	11239619	11259620	RMI2
"218"	20	38336482	38356483	LBP
"219"	16	695808	715809	FBXL16
"220"	5	112409313	112429314	EPB41L4A
"221"	12	110911443	110931444	MYL2
"222"	14	103705504	103725505	XRCC3
"223"	1	211124165	211144166	KCNH1
"224"	10	89546641	89566642	SLC16A12
"225"	16	56647731	56667732	MT1F
"226"	12	123140015	123160016	PITPNM2
"227"	16	2970479	2990480	PKMYT1
"228"	14	100149645	100169646	DEGS2
"229"	19	53982288	54002289	CACNG6
"230"	12	47238124	47258125	AC008083.2
"231"	7	142845061	142865062	EPHB6
"232"	18	11971025	11991026	IMPA2
"233"	22	36243010	36263011	APOL1
"234"	12	52938871	52958872	KRT18
"235"	9	96408370	96428371	ZNF367
"236"	11	61782911	61802912	FEN1
"237"	17	28845232	28865233	FAM222B
"238"	1	23521233	23541234	E2F2
"239"	1	25607468	25627469	MAN1C1
"240"	1	109103679	109123680	KIAA1324
"241"	15	32708004	32728005	GREM1
"242"	1	186286279	186306280	PRG4
"243"	3	138598606	138618607	FAIM
"244"	7	83639139	83659140	SEMA3E
"245"	17	36926670	36946671	LHX1-DT
"246"	17	55254960	55274961	HLF
"247"	11	11612005	11632006	GALNT18
"248"	13	42982271	43002272	EPSTI1
"249"	14	96029324	96049325	C14orf132
"250"	7	45911874	45931875	IGFBP3
"251"	3	48178402	48198403	CDC25A
"252"	6	162717771	162737772	PRKN
"253"	3	46867721	46887722	PTH1R
"254"	17	9812206	9832207	GLP2R
"255"	11	111913722	111933723	CRYAB
"256"	14	69787241	69807242	SLC10A1
"257"	22	39234751	39254752	PDGFB
"258"	7	32289329	32309330	PDE1C
"259"	14	52059228	52079229	NID2
"260"	21	36375392	36395393	CHAF1B
"261"	17	10188551	10208552	AC005747.1
"262"	3	54112547	54132548	CACNA2D3
"263"	15	41884053	41904054	SPTBN5
"264"	17	42567831	42587832	PSMC3IP
"265"	1	17239098	17259099	PADI3
"266"	9	130434929	130454930	ASS1
"267"	2	130188439	130208440	TUBA3E
"268"	19	14323743	14343744	LINC01842
"269"	2	191837088	191857089	CAVIN2
"270"	12	95986365	96006366	HAL
"271"	1	225690264	225710265	AC099066.2
"272"	1	78609922	78629923	IFI44L
"273"	1	46236461	46256462	RAD54L
"274"	11	57450528	57470529	RTN4RL2
"275"	19	40708207	40728208	COQ8B
"276"	15	101515202	101535203	PCSK6
"277"	3	109168143	109188144	LINC00488
"278"	X	106890164	106910165	CLDN2
"279"	11	85801159	85821160	SYTL2
"280"	1	6414670	6434671	HES2
"281"	2	32936953	32956954	LTBP1
"282"	10	13151554	13171555	MCM10
"283"	X	106990212	107010213	MORC4
"284"	17	58530818	58550819	SEPT4
"285"	X	9776297	9796298	GPR143
"286"	6	32931028	32951029	HLA-DMB
"287"	8	144434440	144454441	TONSL
"288"	15	40098892	40118893	BMF
"289"	12	94640557	94660558	TMCC3
"290"	2	31404742	31424743	XDH
"291"	20	3163592	3183593	LZTS3
"292"	16	81020770	81040771	AC092718.4
"293"	11	19231620	19251621	E2F8
"294"	10	21362950	21382951	LINC02643
"295"	12	119979869	119999870	BICDL1
"296"	10	5622435	5642436	LINC02657
"297"	7	44969088	44989089	MYO1G
"298"	4	188099603	188119604	TRIML2
"299"	11	34348010	34368011	ABTB2
"300"	1	20708017	20728018	KIF17
"301"	2	26682690	26702691	KCNK3
"302"	11	27210113	27230114	BBOX1-AS1
"303"	5	159089916	159109917	EBF1
"304"	2	219408377	219428378	DES
"305"	19	15901824	15921825	AC005336.1
"306"	2	44265458	44285459	SLC3A1
"307"	12	132677365	132697366	POLE
"308"	14	56107814	56127815	PELI2
"309"	1	114143919	114163920	SYT6
"310"	20	51552831	51572832	NFATC2
"311"	11	59097185	59117186	FAM111B
"312"	19	4173354	4193355	ANKRD24
"313"	4	2252109	2272110	MXD4
"314"	8	27982673	28002674	SCARA5
"315"	1	241837967	241857968	EXO1
"316"	19	2041244	2061245	MKNK2
"317"	4	76425229	76445230	SHROOM3
"318"	2	207156120	207176121	MYOSLID
"319"	11	126993460	127013461	KIRREL3
"320"	16	14684669	14704670	PLA2G10
"321"	16	85680073	85700074	GINS2
"322"	19	15924867	15944868	CYP4F11
"323"	1	53318469	53338470	LRP8
"324"	16	10518202	10538203	LINC01290
"325"	4	168082515	168102516	ANXA10
"326"	3	47000824	47020825	NRADDP
"327"	10	44949407	44969408	RASSF4
"328"	22	43005149	43025150	PACSIN2
"329"	18	50185147	50205148	MYO5B
"330"	16	87755992	87775993	KLHDC4
"331"	3	156807062	156827063	LINC00886
"332"	6	136326087	136346088	AL023284.4
"333"	17	47947883	47967884	PRR15L
"334"	6	7716099	7736100	BMP6
"335"	5	149541947	149561948	ARHGEF37
"336"	11	86945395	86965396	FZD4
"337"	18	23652911	23672912	ANKRD29
"338"	12	98506422	98526423	TMPO-AS1
"339"	1	197057267	197077268	F13B
"340"	14	69844131	69864132	SMOC1
"341"	17	79768148	79788149	CBX2
"342"	19	35105879	35125880	FXYD3
"343"	1	212025553	212045554	DTL
"344"	14	103918456	103938457	TDRD9
"345"	16	4361848	4381849	VASN
"346"	11	92342096	92362097	FAT3
"347"	12	125176836	125196837	TMEM132B
"348"	20	63262694	63282695	NKAIN4
"349"	7	100091940	100111941	MCM7
"350"	3	50145045	50165046	SEMA3F
"351"	11	17003998	17023999	OR7E14P
"352"	2	24783136	24803137	CENPO
"353"	6	137209449	137229450	IFNGR1
"354"	7	130283134	130303135	CPA4
"355"	5	169627268	169647269	DOCK2
"356"	X	46563784	46583785	CHST7
"357"	7	102423106	102443107	ORAI2
"358"	17	19857936	19877937	ULK2
"359"	12	78853993	78873994	SYT1
"360"	11	73366399	73386400	RELT
"361"	4	98648611	98668612	TSPAN5
"362"	11	107008524	107028525	GUCY1A2
"363"	20	22568642	22588643	LINC00261
"364"	1	27002850	27022851	TENT5B
"365"	17	61853521	61873522	BRIP1
"366"	5	133602541	133622542	FSTL4
"367"	18	72628521	72648522	CBLN2
"368"	19	46067118	46087119	IGFL4
"369"	6	52274881	52294882	MCM3
"370"	3	42479299	42499300	VIPR1
"371"	4	5041480	5061481	STK32B
"372"	3	46683704	46703705	ALS2CL
"373"	7	84482724	84502725	SEMA3A
"374"	18	3456250	3476251	GAPLINC
"375"	19	4549684	4569685	SEMA6B
"376"	2	162064215	162084216	DPP4
"377"	17	78350077	78370078	SOCS3
"378"	19	41183210	41203211	CYP2S1
"379"	11	56838478	56858479	AP001803.2
"380"	12	120255771	120275772	PXN
"381"	12	122824453	122844454	HIP1R
"382"	15	43816980	43836981	WDR76
"383"	19	50794929	50814930	C19orf48
"384"	1	9078478	9098479	SLC2A5
"385"	19	46287046	46307047	HIF3A
"386"	15	44185271	44205272	FRMD5
"387"	15	74715536	74735537	CYP1A1
"388"	18	8697621	8717622	GACAT2
"389"	19	8353289	8373290	ANGPTL4
"390"	1	212555334	212575335	ATF3
"391"	10	62364192	62384193	ZNF365
"392"	20	41307672	41327673	ZHX3
"393"	8	41886762	41906763	ANK1
"394"	17	7992594	8012595	GUCY2D
"395"	6	42040357	42060358	CCND3
"396"	1	36145579	36165580	MAP7D1
"397"	7	100469232	100489233	TSC22D4
"398"	14	52304305	52324306	PTGER2
"399"	1	203080654	203100655	ADORA1
"400"	14	57483867	57503868	CCDC198
"401"	7	32718569	32738570	ZNRF2P1
"402"	21	31863020	31883021	HUNK
"403"	6	167987110	168007111	KIF25-AS1
"404"	X	30299598	30319599	NR0B1
"405"	9	83053177	83073178	RASEF
"406"	10	97574323	97594324	HOGA1
"407"	8	40343133	40363134	SIRLNT
"408"	22	45403691	45423692	RIBC2
"409"	1	145698148	145718149	PDZK1
"410"	13	106525662	106545663	EFNB2
"411"	12	116871441	116891442	HRK
"412"	16	67420652	67440653	HSD11B2
"413"	20	63225883	63245884	BIRC7
"414"	11	31359810	31379811	DCDC1
"415"	7	150968315	150988316	KCNH2
"416"	6	89070751	89090752	PNRC1
"417"	5	159855080	159875081	ADRA1B
"418"	2	85593196	85613197	TMEM150A
"419"	10	71202570	71222571	UNC5B
"420"	1	35759978	35779979	CLSPN
"421"	3	189621389	189641390	TP63
"422"	10	103845543	103865544	SH3PXD2A
"423"	1	145900111	145920112	ITGA10
"424"	17	1700377	1720378	TLCD2
"425"	12	7082540	7102541	C1R
"426"	3	186707348	186727349	KNG1
"427"	15	57365967	57385968	CGNL1
"428"	22	30386941	30406942	SEC14L2
"429"	20	43657019	43677020	MYBL2
"430"	16	68727292	68747293	CDH1
"431"	3	66491263	66511264	LRIG1
"432"	10	72263924	72283925	DDIT4
"433"	12	77055569	77075570	E2F7
"434"	13	40656641	40676642	FOXO1
"435"	1	32326233	32346234	MARCKSL1
"436"	19	15662757	15682758	CYP4F12
"437"	12	27962705	27982706	PTHLH
"438"	2	216362483	216382484	MARCH4
"439"	15	40684774	40704775	RAD51
"440"	14	34452774	34472775	EGLN3
"441"	10	110634336	110654337	RBM20
"442"	2	135866443	135886444	MCM6
"443"	3	194491503	194511504	AC108676.1
"444"	5	95812726	95832727	GLRX
"445"	3	105859552	105879553	CBLB
"446"	20	57700156	57720157	NKILA
"447"	6	106778148	106798149	LINC02532
"448"	6	3447022	3467023	SLC22A23
"449"	20	35605892	35625893	SPAG4
"450"	16	17124504	17144505	AC109446.3
"451"	14	104128723	104148724	KIF26A
"452"	22	44302951	44322952	SHISAL1
"453"	X	153876174	153896175	L1CAM
"454"	4	113969727	113989728	ARSJ
"455"	20	9058763	9078764	PLCB4
"456"	12	76249836	76269837	LNCOG
"457"	12	123071384	123091385	PITPNM2-AS1
"458"	2	44944664	44964665	AC012354.1
"459"	8	27623868	27643869	SCARA3
"460"	17	3713903	3733904	HASPIN
"461"	4	102750994	102770995	MANBA
"462"	9	123991670	124011671	LHX2
"463"	4	16074378	16094379	PROM1
"464"	20	32000450	32020451	CCM2L
"465"	7	151867042	151887043	PRKAG2-AS1
"466"	10	62258844	62278845	RTKN2
"467"	6	157971863	157991864	SYNJ2
"468"	19	50374204	50394205	POLD1
"469"	12	10162138	10182139	OLR1
"470"	1	153668688	153688689	NPR1
"471"	15	74202267	74222268	STRA6
"472"	16	57788186	57808187	AC092118.1
"473"	1	212940520	212960521	VASH2
"474"	5	169970495	169990496	INSYN2B
"475"	1	52394423	52414424	ORC1
"476"	9	137044061	137064062	ENTPD2
"477"	17	78567394	78587395	DNAH17
"478"	7	100473927	100493928	NYAP1
"479"	15	80769343	80789344	CEMIP
"480"	16	2959245	2979246	PAQR4
"481"	2	151724487	151744488	NEB
"482"	8	73284602	73304603	RDH10
"483"	2	224029318	224049319	SERPINE2
"484"	17	43569620	43589621	ETV4
"485"	5	132359752	132379753	SLC22A5
"486"	15	89680783	89700784	PEX11A
"487"	8	133292022	133312023	NDRG1
"488"	8	23415328	23435329	LOXL2
"489"	19	14126613	14146614	ASF1B
"490"	5	53470626	53490627	FST
"491"	14	91050641	91070642	RPS6KA5
"492"	7	152666141	152686142	XRCC2
"493"	2	218597855	218617856	PLCD4
"494"	16	24835841	24855842	SLC5A11
"495"	9	87716109	87736110	CTSL
"496"	1	230416332	230436333	PGBD5
"497"	12	109106595	109126596	ACACB
"498"	15	62155285	62175286	C2CD4B
"499"	10	34805325	34825326	PARD3
"500"	11	119085467	119105468	H2AFX
"501"	5	177076905	177096906	FGFR4
"502"	7	73789542	73809543	CLDN4
"503"	5	100893282	100913283	ST8SIA4
"504"	20	3229559	3249560	SLC4A11
"505"	22	48479460	48499461	TAFA5
"506"	9	127568989	127588990	FAM129B
"507"	2	213142427	213162428	IKZF2
"508"	10	126378455	126398456	ADAM12
"509"	17	171650	191651	DOC2B
"510"	1	241522134	241542135	KMO
"511"	13	33340630	33360631	STARD13
"512"	1	17195128	17215129	PADI1
"513"	2	75189520	75209521	TACR1
"514"	19	53899335	53919336	CACNG7
"515"	2	191668068	191688069	NABP1
"516"	19	48160603	48180604	LIG1
"517"	16	46679643	46699644	ORC6
"518"	8	124718429	124738430	MTSS1
"519"	4	138232349	138252350	SLC7A11
"520"	16	66978589	66998590	CES4A
"521"	1	6170321	6190322	CHD5
"522"	1	145908717	145928718	PEX11B
"523"	4	88699298	88719299	FAM13A-AS1
"524"	15	29664990	29684991	AC022613.1
"525"	11	62546235	62566236	AHNAK
"526"	8	123841987	123861988	FER1L6
"527"	X	107767342	107787343	TSC22D3
"528"	3	160215496	160235497	C3orf80
"529"	7	151867125	151887126	PRKAG2
"530"	9	136986803	137006804	CLIC3
"531"	4	54219280	54239281	PDGFRA
"532"	6	136540819	136560820	MAP7
"533"	7	8252687	8272688	ICA1
"534"	22	18926553	18946554	PRODH
"535"	18	21232242	21252243	GREB1L
"536"	16	415649	435650	RAB11FIP3
"537"	9	137595685	137615686	ARRDC1
"538"	17	48636923	48656924	LINC02086
"539"	17	74414851	74434852	GPRC5C
"540"	20	31835619	31855620	FOXS1
"541"	2	164833679	164853680	COBLL1
"542"	1	207022756	207042757	C1orf116
"543"	8	94886678	94906679	CCNE2
"544"	11	18238643	18258644	SAA2
"545"	18	7556782	7576783	PTPRM
"546"	20	41330920	41350921	LPIN3
"547"	17	40048290	40068291	THRA
"548"	11	65074164	65094165	CDCA5
"549"	19	1030101	1050102	ABCA7
"550"	14	69249277	69269278	GALNT16
"551"	5	17365653	17385654	AC026785.3
"552"	12	6383879	6403880	AC005840.3
"553"	7	38015695	38035696	SFRP4
"554"	11	47204465	47224466	DDB2
"555"	2	75559722	75579723	EVA1A
"556"	1	204675738	204695739	LRRN2
"557"	2	47685530	47705531	MSH6
"558"	3	37442115	37462116	ITGA9
"559"	12	109704228	109724229	FAM222A
"560"	6	53607171	53627172	AL033397.1
"561"	7	28289321	28309322	CREB5
"562"	11	11999769	12019770	DKK3
"563"	11	111530280	111550281	LAYN
"564"	15	33184733	33204734	FMN1
"565"	15	78067724	78087725	TBC1D2B
"566"	11	6380440	6400441	SMPD1
"567"	7	158577823	158597824	PTPRN2
"568"	11	130438974	130458975	ADAMTS15
"569"	6	26224933	26244934	HIST1H1D
"570"	11	2919420	2939421	PHLDA2
"571"	1	16231398	16251399	MT1XP1
"572"	1	210224047	210244048	SERTAD4-AS1
"573"	5	134496552	134516553	LINC01843
"574"	19	12985608	13005609	NFIX
"575"	17	14291081	14311082	HS3ST3B1
"576"	14	105011148	105031149	CDCA4
"577"	3	149324414	149344415	TM4SF18
"578"	11	117818698	117838699	FXYD2
"579"	1	31754893	31774894	ADGRB2
"580"	X	15665012	15685013	CLTRN
"581"	2	131466119	131486120	TUBA3D
"582"	20	13211274	13231275	ISM1
"583"	5	134104681	134124682	TCF7
"584"	16	70676053	70696054	MTSS2
"585"	2	26837747	26857748	DPYSL5
"586"	10	27144824	27164825	MASTL
"587"	7	74244458	74264459	RFC2
"588"	7	93880753	93900754	TFPI2
"589"	20	57701536	57721537	PMEPA1
"590"	6	31148547	31168548	TCF19
"591"	1	160729057	160749058	SLAMF7
"592"	18	59889948	59909949	PMAIP1
"593"	2	227371995	227391996	TM4SF20
"594"	13	33808069	33828070	RFC3
"595"	2	234487081	234507082	ARL4C
"596"	4	184724130	184744131	CENPU
"597"	1	203616561	203636562	ATP2B4
"598"	12	53046944	53066945	MIR6757
"599"	22	41357333	41377334	TEF
"600"	17	68447513	68467514	WIPI1
"601"	18	62315287	62335288	TNFRSF11A
"602"	17	48038329	48058330	NFE2L1
"603"	19	11187791	11207792	KANK2
"604"	6	85380186	85400187	LINC02535
"605"	15	89077459	89097460	ABHD2
"606"	12	113349493	113369494	SLC8B1
"607"	2	131517675	131537676	CCDC74A
"608"	11	75090563	75110564	SLCO2B1
"609"	7	148874321	148894322	EZH2
"610"	6	34546333	34566334	SPDEF
"611"	20	44177578	44197579	JPH2
"612"	16	83938282	83958283	OSGIN1
"613"	11	17466879	17486880	ABCC8
"614"	10	104075880	104095881	COL17A1
"615"	4	88582434	88602435	HERC3
"616"	18	44670173	44690174	SETBP1
"617"	5	13934543	13954544	DNAH5
"618"	12	21121202	21141203	SLCO1B1
"619"	1	6251098	6271099	GPR153
"620"	5	132360170	132380171	MIR3936HG
"621"	15	80394350	80414351	ARNT2
"622"	19	14486149	14506150	GIPC1
"623"	20	5116626	5136627	PCNA
"624"	10	21487284	21507285	MIR1915HG
"625"	6	1302098	1322099	FOXQ1
"626"	8	144507845	144527846	RECQL4
"627"	3	16504026	16524027	RFTN1
"628"	12	84903615	84923616	SLC6A15
"629"	2	144656312	144676313	TEX41
"630"	10	102216299	102236300	ELOVL3
"631"	9	114796039	114816040	TNFSF15
"632"	5	179796398	179816399	SQSTM1
"633"	17	44937711	44957712	KIF18B
"634"	16	70569895	70589896	IL34
"635"	5	52777896	52797897	ITGA1
"636"	6	33736905	33756906	IP6K3
"637"	16	83958632	83978633	NECAB2
"638"	22	19469459	19489460	CDC45
"639"	1	6384391	6404392	ACOT7
"640"	8	120803273	120823274	SNTB1
"641"	1	18620846	18640847	PAX7
"642"	20	1884167	1904168	SIRPA
"643"	4	10044936	10064937	SLC2A9
"644"	19	40707112	40727113	ITPKC
"645"	7	99669998	99689999	CYP3A5
"646"	10	86961311	86981312	ADIRF-AS1
"647"	5	169573636	169593637	SPDL1
"648"	19	44652278	44672279	CEACAM19
"649"	3	63087711	63107712	KRT8P35
"650"	16	15385754	15405755	MPV17L
"651"	17	50363220	50383221	EME1
"652"	22	23060519	23080520	GNAZ
"653"	19	32962209	32982210	FAAP24
"654"	11	130418609	130438610	ADAMTS8
"655"	16	1933326	1953327	MSRB1
"656"	1	117200960	117220961	VTCN1
"657"	9	114089291	114109292	KIF12
"658"	5	144160873	144180874	KCTD16
"659"	14	85520144	85540145	FLRT2
"660"	10	97309267	97329268	FRAT1
"661"	19	7916135	7936136	CTXN1
"662"	21	36125079	36145080	CBR3
"663"	10	47474158	47494159	ANXA8
"664"	1	156667407	156687408	NES
"665"	4	76296026	76316027	STBD1
"666"	19	6594103	6614104	CD70
"667"	2	42483982	42503983	KCNG3
"668"	16	1908440	1928441	HS3ST6
"669"	17	70043429	70063430	KCNJ16
"670"	3	195574033	195594034	APOD
"671"	X	100919433	100939434	XKRX
"672"	17	76366584	76386585	SPHK1
"673"	8	122723804	122743805	LINC01151
"674"	12	74392600	74412601	AC090015.1
"675"	5	17055598	17075599	BASP1
"676"	4	1198962	1218963	SPON2
"677"	1	154964395	154984396	SHC1
"678"	7	111081006	111101007	LRRN3
"679"	4	109902884	109922885	EGF
"680"	6	30203427	30223428	TRIM26
"681"	3	58527283	58547284	ACOX2
"682"	22	38560204	38580205	DMC1
"683"	7	101352875	101372876	COL26A1
"684"	22	27791756	27811757	MN1
"685"	10	44376493	44396494	CXCL12
"686"	12	120359164	120379165	MSI1
"687"	18	50815402	50835403	MRO
"688"	4	999936	1019937	FGFRL1
"689"	6	117415855	117435856	ROS1
"690"	1	46747838	46767839	CYP4B1
"691"	17	39616740	39636741	PPP1R1B
"692"	4	144651357	144671358	HHIP-AS1
"693"	21	46313875	46333876	C21orf58
"694"	10	35632278	35652279	FZD8
"695"	11	119311521	119331522	AP002956.1
"696"	3	14546075	14566076	GRIP2
"697"	14	99262197	99282198	BCL11B
"698"	12	47069603	47089604	PCED1B
"699"	8	40887833	40907834	ZMAT4
