ensemblid	gene.name	chromosome	start	end	gene.regulation
NA	CDH1	16	68705622	68725623	up-regulated
NA	CDH16	16	66986581	67006582	up-regulated
NA	CDK2	12	55899310	55919311	down-regulated
NA	CEP55	10	93461282	93481283	down-regulated
NA	CEP70	3	138587612	138607613	up-regulated
NA	CGNL1	15	57297765	57317766	down-regulated
NA	CHD2	15	92794162	92814163	random
NA	CHML	1	241605552	241625553	random
NA	CHP1	15	41246711	41266712	up-regulated
NA	CIB2	15	78206875	78226876	random
NA	CIDEC	3	9874651	9894652	up-regulated
NA	CKAP2L	2	112784428	112804429	down-regulated
NA	CLASP1	2	121617311	121637312	up-regulated
NA	CLDN7	17	7218293	7238294	up-regulated
NA	CLPTM1L	5	1406642	1426643	random
NA	CMTM3	16	66506955	66526956	random
NA	CNST	1	246607962	246627963	up-regulated
NA	CNTN1	12	40708758	40728759	down-regulated
NA	COL4A5	X	108389591	108409592	up-regulated
NA	COL5A2	2	189266513	189286514	random
NA	COL6A2	21	46178634	46198635	random
NA	COPS8	2	237088089	237108090	up-regulated
NA	COQ8B	19	40705716	40725717	up-regulated
NA	CPB2	13	46110313	46130314	up-regulated
NA	CPS1	2	210539136	210559137	up-regulated
NA	CRLS1	20	5936124	5956125	up-regulated
NA	CRTC1	19	18620001	18640002	random
NA	CRTC2	1	153996341	154016342	random
NA	CRYAB	11	111978939	111998940	up-regulated
NA	CTBP2	10	125113789	125133790	random
NA	CUX2	12	111057723	111077724	up-regulated
NA	CXCL16	17	4709963	4729964	down-regulated
NA	CYB5A	18	74239349	74259350	up-regulated
NA	CYB5R3	22	42732299	42752300	up-regulated
NA	CYP4F22	19	15485351	15505352	up-regulated
NA	CYTH3	7	6308076	6328077	random
NA	DBI	2	119416217	119436218	random
NA	DBR1	3	138069383	138089384	random
NA	DDAH1	1	85597454	85617455	random
NA	DEPTOR	8	119909909	119929910	random
NA	DGKD	2	233412572	233432573	random
NA	DHCR24	1	54874010	54894011	up-regulated
NA	DHFR2	3	94149186	94169187	random
NA	DLD	7	107962222	107982223	random
NA	DLGAP5	14	55231799	55251800	down-regulated
NA	DNAH11	7	21608052	21628053	random
NA	DNAJB14	4	100008209	100028210	random
NA	DNAJC15	13	42995079	43015080	up-regulated
NA	DOCK4	7	112150793	112170794	up-regulated
NA	DOCK9	13	99047748	99067749	up-regulated
NA	DPYSL5	2	26762544	26782545	down-regulated
NA	DSCC1	8	119909909	119929910	down-regulated
NA	DUSP1	5	172859278	172879279	random
NA	DYNLT1	6	158697313	158717314	random
NA	E2F2	1	23575780	23595781	down-regulated
NA	EDF1	9	136875104	136895105	random
NA	EDN3	20	59341172	59361173	up-regulated
NA	EEF1E1	6	8098508	8118509	random
NA	EIF2A	3	150459718	150479719	random
NA	EIF3B	7	2300229	2320230	random
NA	ELK3	12	96186952	96206953	random
NA	ELOB	16	2759892	2779893	random
NA	ELOVL5	6	53240982	53260983	up-regulated
NA	ELP6	3	47445928	47465929	random
NA	EMP1	12	13092283	13112284	up-regulated
NA	EMP2	16	10510644	10530645	up-regulated
NA	ENOX1	13	43795284	43815285	up-regulated
NA	EPHX1	1	225726521	225746522	random
NA	ERCC6L	X	72237838	72257839	down-regulated
NA	ERGIC1	5	172859278	172879279	up-regulated
NA	FAM220A	7	6383556	6403557	random
NA	FAM222B	17	28799022	28819023	up-regulated
NA	FAM32A	19	16083825	16103826	random
NA	FAM83A	8	123207277	123227278	up-regulated
NA	FANCI	15	89158019	89178020	down-regulated
NA	FARP1	13	98119509	98139510	up-regulated
NA	FAT1	4	186656445	186676446	random
NA	FBLN5	14	91953617	91973618	up-regulated
NA	FBXO3	11	33680543	33700544	up-regulated
NA	FBXO8	4	174245927	174265928	random
NA	FBXW2	9	120725634	120745635	random
NA	FBXW5	9	136875104	136895105	random
NA	FEN1	11	61811167	61831168	down-regulated
NA	FGA	4	154550939	154570940	up-regulated
NA	FGB	4	154580858	154600859	up-regulated
NA	FGD4	12	32444184	32464185	random
NA	FH	1	241605552	241625553	random
NA	FIGN	2	163649373	163669374	random
NA	FIGNL1	7	50492444	50512445	down-regulated
NA	FKBP5	6	35712650	35732651	up-regulated
NA	FLG-AS1	1	152153012	152173013	random
NA	FNDC3B	3	172120657	172140658	random
NA	FRMD6	14	51537354	51557355	random
NA	FRZB	2	182906629	182926630	up-regulated
NA	FTH1P10	5	17296119	17316120	random
NA	GACAT2	18	8722837	8742838	down-regulated
NA	GCNA	X	71530322	71550323	random
NA	GGT5	22	24198145	24218146	up-regulated
NA	GKN1	2	68961962	68981963	random
NA	GLP2R	17	9827975	9847976	down-regulated
NA	GLUD1	10	87153067	87173068	up-regulated
NA	GMEB2	20	63565921	63585922	random
NA	GOLPH3	5	32215639	32235640	up-regulated
NA	GPATCH3	1	26952011	26972012	random
NA	GPD1L	3	32027098	32047099	up-regulated
NA	GPD2	2	156389326	156409327	down-regulated
NA	GPSM2	1	108818706	108838707	random
NA	GREM1	15	32667361	32687362	down-regulated
NA	GSAP	7	77399574	77419575	up-regulated
NA	GSDME	7	24731805	24751806	up-regulated
NA	GSPT1	16	11824234	11844235	random
NA	GSR	8	30797715	30817716	down-regulated
NA	HARBI1	11	46544352	46564353	random
NA	HECW2	2	196598125	196618126	up-regulated
NA	HERC3	4	88602392	88622393	up-regulated
NA	HEY1	8	79783782	79803783	random
NA	HGD	3	120679589	120699590	up-regulated
NA	HHIP	4	144573112	144593113	down-regulated
NA	HJURP	2	233746905	233766906	down-regulated
NA	HLF	17	55276017	55296018	up-regulated
NA	HNRNPM	19	8345845	8365846	random
NA	HPCAL1	2	10260918	10280919	up-regulated
NA	HPGD	4	174451924	174471925	up-regulated
NA	HPS5	11	18374540	18394541	random
NA	HSD11B1	1	209678831	209698832	up-regulated
NA	HSD17B4	5	119431915	119451916	up-regulated
NA	IAH1	2	9528430	9548431	random
NA	IFIT1	10	89471839	89491840	up-regulated
NA	IFNGR1	6	137251553	137271554	up-regulated
NA	IGF2	11	2203289	2223290	random
NA	IGFBP3	7	45879520	45899521	down-regulated
NA	IGFL2-AS1	19	46291061	46311062	random
NA	IL17RC	3	9869008	9889009	up-regulated
NA	IL1R1	2	102038629	102058630	up-regulated
NA	INPP5K	17	1413037	1433038	random
NA	IQCN	19	18355136	18375137	up-regulated
NA	IQGAP1	15	90409910	90429911	up-regulated
NA	IQGAP2	5	76462698	76482699	up-regulated
NA	IRF2BP2	1	234602837	234622838	random
NA	ITCH	20	34260373	34280374	random
NA	ITGA11	15	68331106	68351107	down-regulated
NA	ITGB1BP1	2	9471359	9491360	random
NA	ITGB4	17	75683946	75703947	up-regulated
NA	JAK1	1	64945258	64965259	up-regulated
NA	KANK2	19	11142828	11162829	up-regulated
NA	KCNB1	20	49500673	49520674	up-regulated
NA	KCNH1	1	211188383	211208384	down-regulated
NA	KIAA1191	5	176320475	176340476	up-regulated
NA	KLF16	19	1763449	1783450	random
NA	KLF9	9	70410135	70430136	up-regulated
NA	KLHDC4	16	87779762	87799763	up-regulated
NA	KLHL2	4	165182176	165202177	random
NA	KLHL26	19	18620001	18640002	random
NA	KRT18	12	52916108	52936109	up-regulated
NA	KRT8	12	52916108	52936109	up-regulated
NA	KYAT1	9	128864662	128884663	up-regulated
NA	LACTB	15	63043341	63063342	random
NA	LAMA3	18	23715984	23735985	up-regulated
NA	LEPROT	1	65415925	65435926	up-regulated
NA	LINC-PINT	7	131079357	131099358	random
NA	LINC00886	3	156896540	156916541	up-regulated
NA	LINC01578	15	92794162	92814163	random
NA	LINC01619	12	92061237	92081238	random
NA	LINC01806	2	161218992	161238993	random
NA	LIX1L	1	145882230	145902231	up-regulated
NA	LNCOC1	8	142672004	142692005	random
NA	LONP2	16	48155475	48175476	up-regulated
NA	LOX	5	122155693	122175694	up-regulated
NA	LYRM1	16	20841768	20861769	up-regulated
NA	MALAT1	11	65462226	65482227	random
NA	MAML2	11	96253447	96273448	random
NA	MANBA	4	102707719	102727720	up-regulated
NA	MAOA	X	43579957	43599958	up-regulated
NA	MAP2	2	209486067	209506068	up-regulated
NA	MAP4K5	14	50648409	50668410	down-regulated
NA	MAP6D1	3	183915175	183935176	random
NA	MAP7	6	136576380	136596381	down-regulated
NA	MARVELD1	10	97708901	97728902	up-regulated
NA	MBNL2	13	97248111	97268112	random
NA	MBOAT2	2	8991310	9011311	random
NA	MCM5	22	35354407	35374408	down-regulated
NA	MCM8	20	5936124	5956125	down-regulated
NA	MCOLN1	19	7415153	7435154	random
NA	MECP2	X	154037310	154057311	random
NA	MET	7	116623732	116643733	down-regulated
NA	MFHAS1	8	8796300	8816301	down-regulated
NA	MIR3936HG	5	132353568	132373569	up-regulated
NA	MLH3	14	75140301	75160302	random
NA	MLKL	16	74783763	74803764	up-regulated
NA	MLXIP	12	122062764	122082765	up-regulated
NA	MMD	17	55445086	55465087	up-regulated
NA	MMP28	17	35707247	35727248	up-regulated
NA	MN1	22	27856325	27876326	down-regulated
NA	MND1	4	153388922	153408923	down-regulated
NA	MORC4	X	106907955	106927956	down-regulated
NA	MOSMO	16	22016727	22036728	random
NA	MRO	18	50810204	50830205	up-regulated
NA	MROH1	8	144150368	144170369	up-regulated
NA	MSH2	2	47294001	47314002	down-regulated
NA	MSI2	17	57205513	57225514	up-regulated
NA	MT1X	16	56597337	56617338	up-regulated
NA	MTCL1	18	8722837	8742838	down-regulated
NA	MTCO2P2	18	47920399	47940400	random
NA	MUC3A	7	100973662	100993663	up-regulated
NA	MYBL1	8	66550031	66570032	down-regulated
NA	MYO10	5	16884528	16904529	down-regulated
NA	NABP1	2	191627607	191647608	up-regulated
NA	NBEAL2	3	46938245	46958246	up-regulated
NA	NBL1	1	19630149	19650150	up-regulated
NA	NCAPG2	7	158723323	158743324	down-regulated
NA	NCKAP5-AS2	2	133191233	133211234	random
NA	NDUFS8	11	68003365	68023366	random
NA	NEBL	10	21125133	21145134	up-regulated
NA	NES	1	156606643	156626644	down-regulated
NA	NEURL1B	5	172705093	172725094	random
NA	NFE2L1	17	47945708	47965709	up-regulated
NA	NFIC	19	3326898	3346899	up-regulated
NA	NME4	16	447789	467790	random
NA	NNMT	11	114169449	114189450	up-regulated
NA	NOL11	17	67769474	67789475	random
NA	NOP53	19	47654334	47674335	random
NA	NOSIP	19	49604237	49624238	random
NA	NPAS2	2	100742797	100762798	down-regulated
NA	NPC1	18	23619611	23639612	up-regulated
NA	NRCAM	7	108404222	108424223	up-regulated
NA	NRSN2	20	386998	406999	random
NA	NSUN6	10	18600649	18620650	random
NA	NTMT1	9	129587113	129607114	random
NA	OCLM	1	186482718	186502719	random
NA	OLAH	10	15033840	15053841	up-regulated
NA	OPA3	19	45567229	45587230	up-regulated
NA	OPN3	1	241631349	241651350	up-regulated
NA	ORMDL3	17	40011660	40031661	random
NA	OTULINL	5	14579176	14599177	up-regulated
NA	P3H2	3	190115847	190135848	up-regulated
NA	P4HA2	5	132353568	132373569	up-regulated
NA	PAPSS2	10	87638116	87658117	down-regulated
NA	PCLAF	15	64434627	64454628	down-regulated
NA	PCNA	20	5063278	5083279	down-regulated
NA	PCSK6	15	101429656	101449657	up-regulated
NA	PDE3A	12	20456138	20476139	random
NA	PDE6A	5	149847679	149867680	up-regulated
NA	PDE8A	15	85037388	85057389	down-regulated
NA	PDF	16	69386754	69406755	random
NA	PDK2	17	50174724	50194725	random
NA	PDLIM1	10	95263663	95283664	up-regulated
NA	PEX11B	1	145882230	145902231	up-regulated
NA	PGRMC2	4	128340003	128360004	random
NA	PHF20L1	8	132702314	132722315	up-regulated
NA	PHKA1	X	72610720	72630721	up-regulated
NA	PHLDB2	3	111793354	111813355	up-regulated
NA	PIGF	2	46638326	46658327	random
NA	PIK3C2B	1	204407277	204427278	up-regulated
NA	PITPNB	22	27856325	27876326	random
NA	PITPNC1	17	67412117	67432118	up-regulated
NA	PITPNM2	12	123155075	123175076	up-regulated
NA	PITPNM3	17	6581676	6601677	up-regulated
NA	PKP2	12	32907367	32927368	up-regulated
NA	PLD5	1	242520899	242540900	up-regulated
NA	PLPP1	5	55591379	55611380	up-regulated
NA	PNPO	17	47945708	47965709	up-regulated
NA	PNRC1	6	89025702	89045703	up-regulated
NA	POC1B-AS1	12	89497646	89517647	random
NA	POLR3D	8	22200890	22220891	random
NA	PON2	7	95375813	95395814	up-regulated
NA	PPA1	10	70218126	70238127	up-regulated
NA	PPARA	22	46095606	46115607	random
NA	PPIF	10	79319733	79339734	random
NA	PPP1CA	11	67364385	67384386	random
NA	PPP1R3C	10	91633099	91653100	up-regulated
NA	PPP2R2C	4	6623378	6643379	down-regulated
NA	PPP6R1	19	55179549	55199550	random
NA	PRDX6	1	173517319	173537320	up-regulated
NA	PRKACA	19	14008030	14028031	random
NA	PRKAG2	7	151787947	151807948	up-regulated
NA	PROCR	20	35198228	35218229	up-regulated
NA	PRPS1	X	107667199	107687200	down-regulated
NA	PRSS23	11	86726151	86746152	down-regulated
NA	PSMC4	19	39899763	39919764	random
NA	PSMD12	17	67412117	67432118	random
NA	PTK2	8	141008954	141028955	up-regulated
NA	PTK2B	8	27390169	27410170	up-regulated
NA	PTK6	20	63565921	63585922	up-regulated
NA	PTPN12	7	77469890	77489891	up-regulated
NA	PTPRM	18	7566870	7586871	up-regulated
NA	PUM3	9	2792670	2812671	random
NA	PXN	12	120227544	120247545	up-regulated
NA	RABL3	3	120679589	120699590	random
NA	RALGAPB	20	38546762	38566763	up-regulated
NA	RARG	12	53164975	53184976	random
NA	RASEF	9	83123016	83143017	down-regulated
NA	RASGRP3	2	33401910	33421911	down-regulated
NA	RCL1	9	4829655	4849656	up-regulated
NA	RDH11	14	67753555	67773556	random
NA	RETREG2	2	219115363	219135364	random
NA	RFWD3	16	74731076	74751077	down-regulated
NA	RHPN2	19	33022618	33042619	down-regulated
NA	RMI2	16	11214379	11234380	down-regulated
NA	RNF121	11	71935458	71955459	down-regulated
NA	RNF145	5	159176501	159196502	up-regulated
NA	RNF227	17	7949702	7969703	random
NA	RNF24	20	4092483	4112484	random
NA	ROCK1	18	21043395	21063396	up-regulated
NA	RPLP0	12	120227544	120247545	random
NA	RPRD2	1	150271846	150291847	random
NA	RPS3	11	75362571	75382572	random
NA	RRAS	19	49604237	49624238	random
NA	RRAS2	11	14308775	14328776	random
NA	RRP1	21	43702711	43722712	random
NA	RSPO3	6	127092489	127112490	down-regulated
NA	RTKN2	10	62233381	62253382	down-regulated
NA	S100A11	1	151982567	152002568	random
NA	S100A6	1	153556703	153576704	random
NA	S100P	4	6623378	6643379	up-regulated
NA	SARAF	8	30114863	30134864	random
NA	SCARA5	8	27948081	27968082	up-regulated
NA	SCMH1	1	41142838	41162839	up-regulated
NA	SCNN1A	12	6363153	6383154	up-regulated
NA	SCNN1B	16	23248498	23268499	up-regulated
NA	SDK1	7	3229409	3249410	up-regulated
NA	SDS	12	113403779	113423780	up-regulated
NA	SEMA3A	7	84519561	84539562	down-regulated
NA	SEMA4D	9	89546755	89566756	down-regulated
NA	SERPINA3	14	94589341	94609342	up-regulated
NA	SESTD1	2	179204831	179224832	random
NA	SFRP5	10	97708901	97728902	up-regulated
NA	SGPP2	2	222442624	222462625	up-regulated
NA	SH3TC1	4	8091381	8111382	up-regulated
NA	SHC1	1	155007437	155027438	up-regulated
NA	SHISA4	1	201907757	201927758	random
NA	SHROOM3	4	76367708	76387709	up-regulated
NA	SLC1A4	2	64943114	64963115	down-regulated
NA	SLC25A17	22	40722896	40742897	random
NA	SLC2A14	12	7886895	7906896	up-regulated
NA	SLC30A9	4	42038493	42058494	random
NA	SLC39A1	1	153996341	154016342	random
NA	SLC3A1	2	44281544	44301545	down-regulated
NA	SLC41A2	12	104959689	104979690	random
NA	SLC45A1	1	8249316	8269317	up-regulated
NA	SLC45A4	8	141247757	141267758	up-regulated
NA	SLC4A7	3	27566430	27586431	down-regulated
NA	SLC6A6	3	14442341	14462342	down-regulated
NA	SLC7A11	4	138225743	138245744	down-regulated
NA	SLC7A7	14	22797714	22817715	up-regulated
NA	SLC7A8	14	23135984	23155985	up-regulated
NA	SLC8B1	12	113403779	113423780	up-regulated
NA	SLC9A1	1	27136006	27156007	random
NA	SLIRP	14	77672283	77692284	random
NA	SMIM24	19	3419852	3439853	random
NA	SMU1	9	33153073	33173074	random
NA	SNAP25	20	10241039	10261040	down-regulated
NA	SOCS3	17	78305694	78325695	up-regulated
NA	SORBS1	10	95464504	95484505	random
NA	SPAG16	2	213229137	213249138	random
NA	SPATA20	17	50629360	50649361	random
NA	SPDL1	5	169658515	169678516	down-regulated
NA	SPIN1	9	88443257	88463258	random
NA	SPOP	17	49636813	49656814	up-regulated
NA	SPTB	14	64796688	64816689	random
NA	SPX	12	21553086	21573087	up-regulated
NA	SREBF1	17	17764325	17784326	random
NA	SRGN	10	69051606	69071607	up-regulated
NA	SRRM2	16	2759892	2779893	random
NA	SRSF10	1	23974689	23994690	up-regulated
NA	SRSF3	6	36607250	36627251	random
NA	SSBP2	5	81745463	81765464	up-regulated
NA	SSH1	12	108763953	108783954	random
NA	STAT1	2	191040121	191060122	up-regulated
NA	STAT4	2	191169026	191189027	up-regulated
NA	STC1	8	23788316	23808317	random
NA	STOM	9	121362668	121382669	up-regulated
NA	STRA6	15	74205337	74225338	up-regulated
NA	STX6	1	181102649	181122650	random
NA	STXBP1	9	127560615	127580616	random
NA	STXBP5	6	147147097	147167098	up-regulated
NA	SUPV3L1	10	69077988	69097989	random
NA	SYNGR3	16	1925455	1945456	random
NA	SYNJ2	6	158030527	158050528	down-regulated
NA	SYT12	11	66961012	66981013	random
NA	TBC1D2B	15	78002806	78022807	up-regulated
NA	TBC1D4	13	75457175	75477176	down-regulated
NA	TBL2	7	73602907	73622908	random
NA	TBL3	16	1925455	1945456	random
NA	TBXAS1	7	139724626	139744627	random
NA	TCF19	6	31176522	31196523	down-regulated
NA	TCTN1	12	110533717	110553718	random
NA	TEF	22	41400542	41420543	up-regulated
NA	TEX41	2	144649968	144669969	down-regulated
NA	TFAM	10	58458762	58478763	down-regulated
NA	TGM2	20	38100278	38120279	up-regulated
NA	THOC2	X	123655339	123675340	up-regulated
NA	TICRR	15	89488443	89508444	down-regulated
NA	TLE1	9	81647077	81667078	random
NA	TM4SF18	3	149363910	149383911	down-regulated
NA	TMEM120B	12	121738846	121758847	random
NA	TMEM141	9	136875104	136895105	random
NA	TMEM150A	2	85671474	85691475	up-regulated
NA	TMEM164	X	110072352	110092353	up-regulated
NA	TMEM230	20	5063278	5083279	random
NA	TMEM245	9	109104458	109124459	up-regulated
NA	TMEM30B	14	61275522	61295523	random
NA	TNFAIP8	5	119261064	119281065	down-regulated
NA	TNFSF14	19	6735057	6755058	up-regulated
NA	TNS2	12	52961911	52981912	up-regulated
NA	TNS4	17	40500420	40520421	up-regulated
NA	TOP2A	17	40500420	40520421	down-regulated
NA	TP53BP2	1	223822177	223842178	random
NA	TPD52L1	6	125188849	125208850	random
NA	TRAF3	14	102687231	102707232	down-regulated
NA	TRAF7	16	2076269	2096270	random
NA	TRAM1	8	70656874	70676875	random
NA	TRAM2	6	52557008	52577009	up-regulated
NA	TRIM29	11	120115110	120135111	up-regulated
NA	TRMT61B	2	28942130	28962131	up-regulated
NA	TRNP1	1	26952011	26972012	up-regulated
NA	TTC7A	2	46845509	46865510	up-regulated
NA	TTPAL	20	44457428	44477429	up-regulated
NA	TUBD1	17	59827702	59847703	down-regulated
NA	TXNDC11	16	11824234	11844235	up-regulated
NA	UBALD1	16	4570460	4590461	random
NA	UBAP1	9	34153694	34173695	up-regulated
NA	UBASH3B	11	122591885	122611886	down-regulated
NA	UBE2E2	3	23278403	23298404	up-regulated
NA	UBXN8	8	30797715	30817716	random
NA	UGT2B7	4	69024551	69044552	random
NA	UHRF1	19	4860252	4880253	down-regulated
NA	ULK2	17	19927697	19947698	up-regulated
NA	UQCC1	20	35317372	35337373	up-regulated
NA	USP40	2	233477326	233497327	random
NA	VCL	10	74046579	74066580	up-regulated
NA	VEZF1	17	57965174	57985175	random
NA	VPS29	12	110533717	110553718	random
NA	VSIR	10	71756914	71776915	up-regulated
NA	VSTM2L	20	37980774	38000775	up-regulated
NA	WDR61	15	78206875	78226876	random
NA	WDR75	2	189402118	189422119	random
NA	WEE1	11	9559110	9579111	down-regulated
NA	WIPI1	17	68368274	68388275	up-regulated
NA	WWC2	4	183162040	183182041	random
NA	XDH	2	31374969	31394970	down-regulated
NA	XPO1	2	61446429	61466430	random
NA	Z95331.1	22	45594384	45614385	random
NA	ZBTB16	11	114144689	114164690	up-regulated
NA	ZC3H13	13	46110313	46130314	random
NA	ZC3H15	2	186523873	186543874	random
NA	ZEB2	2	144543483	144563484	random
NA	ZFAND5	9	72386845	72406846	random
NA	ZGPAT	20	63689318	63709319	random
NA	ZHX3	20	41238852	41258853	up-regulated
NA	ZMYND8	20	47324297	47344298	random
NA	ZNF362	1	33328955	33348956	random
NA	ZNF367	9	96396040	96416041	down-regulated
NA	ZNF436	1	23293664	23313665	random
NA	ZNF598	16	1925455	1945456	random
NA	ZNF628	19	55469727	55489728	random
NA	ZNF644	1	91006322	91026323	random
NA	ZNF865	19	55572060	55592061	random
NA	ZNFX1	20	49335110	49355111	up-regulated
NA	ZNRD2	11	65462226	65482227	random
