""	chromosome	start	end	genename
"74"	12	53241251	53261252	MFSD5
"75"	3	156807062	156827063	LINC00886
"76"	16	70444595	70464596	FCSK
"77"	1	207869115	207889116	MIR29B2CHG
"78"	11	65992176	66012177	EIF1AD
"79"	4	119444791	119464792	AC093752.1
"80"	19	18931261	18951262	HOMER3
"81"	19	1595473	1615474	UQCR11
"82"	14	20333582	20353583	PARP2
"83"	3	32067580	32087581	OSBPL10
"84"	2	74432422	74452423	RTKN
"85"	11	65852026	65872027	CFL1
"86"	1	156562604	156582605	IQGAP3
"87"	11	66965277	66985278	C11orf86
"88"	22	36519184	36539185	EIF3D
"89"	6	26649752	26669753	ZNF322
"90"	11	104154379	104174380	PDGFD
"91"	2	71120239	71140240	MCEE
"92"	1	38981276	39001277	AKIRIN1
"93"	6	52566787	52586788	TRAM2-AS1
"94"	4	2746376	2766377	TNIP2
"95"	22	41579871	41599872	PMM1
"96"	4	121860497	121880498	BBS7
"97"	7	73298867	73318868	NSUN5
"98"	3	156545184	156565185	SSR3
"99"	20	44900062	44920063	PABPC1L
"100"	CHR_HSCHR17_1_CTG9	83040530	83060531	B3GNTL1
"101"	2	151251863	151271864	RBM43
"102"	3	184304495	184324496	EIF4G1
"103"	17	30105521	30125522	NSRP1
"104"	20	21293331	21313332	XRN2
"105"	9	111621334	111641335	DNAJC25
"106"	2	128018120	128038121	SAP130
"107"	9	34366898	34386899	MYORG
"108"	11	65701996	65721997	KAT5
"109"	5	177501274	177521275	DOK3
"110"	3	38336760	38356761	XYLB
"111"	1	110953965	110973966	LRIF1
"112"	12	53285291	53305292	PFDN5
"113"	X	48466021	48486022	FTSJ1
"114"	16	30368106	30388107	ZNF48
"115"	17	4700596	4720597	ARRB2
"116"	2	234942017	234962018	SH3BP4
"117"	9	35722598	35742599	CREB3
"118"	8	90781632	90801633	TMEM64
"119"	1	9119102	9139103	GPR157
"120"	12	88023846	88043847	C12orf29
"121"	15	63823948	63843949	HERC1
"122"	19	32962209	32982210	FAAP24
"123"	8	30085398	30105399	LEPROTL1
"124"	X	10823654	10843655	MID1
"125"	17	7209841	7229842	DLG4
"126"	19	12696518	12716519	SNORD41
"127"	4	98251384	98271385	RAP1GDS1
"128"	1	9900336	9920337	CTNNBIP1
"129"	5	180805652	180825653	MGAT1
"130"	17	41855423	41875424	KLHL11
"131"	16	31112235	31132236	AC135050.6
"132"	13	22686574	22706575	FTH1P7
"133"	2	151280057	151300058	NMI
"134"	6	104926616	104946617	LIN28B
"135"	15	20496180	20516181	HERC2P3
"136"	7	5415414	5435415	TNRC18
"137"	1	212025557	212045558	INTS7
"138"	1	108736674	108756675	STXBP3
"139"	11	68029025	68049026	TCIRG1
"140"	14	64378031	64398032	MTHFD1
"141"	11	47838555	47858556	NUP160
"142"	15	34959742	34979743	AQR
"143"	11	6471479	6491480	ARFIP2
"144"	2	46906157	46926158	TTC7A
"145"	MT	2207	22208	MT-TS2
"146"	15	90858588	90878589	FURIN
"147"	3	45378561	45398562	LARS2
"148"	X	308819	328820	GTPBP6
"149"	1	179867803	179887804	TOR1AIP2
"150"	15	70882433	70902434	THAP10
"151"	2	26960612	26980613	MAPRE3
"152"	4	48896937	48916938	OCIAD2
"153"	3	132644446	132664447	UBA5
"154"	10	42628570	42648571	ZNF33B
"155"	9	33740466	33760467	PRSS3
"156"	10	73238862	73258863	DNAJC9
"157"	5	64758691	64778692	SREK1IP1
"158"	2	74519377	74539378	HTRA2
"159"	21	35994667	36014668	RUNX1
"160"	4	182135249	182155250	TENM3-AS1
"161"	3	127588267	127608268	TPRA1
"162"	2	44351862	44371863	PREPL
"163"	2	203004879	203024880	NBEAL1
"164"	3	125045997	125065998	HEG1
"165"	6	158526436	158546437	TMEM181
"166"	14	24084053	24104054	PCK2
"167"	5	69179574	69199575	CENPH
"168"	1	222702553	222722554	BROX
"169"	2	169684454	169704455	PHOSPHO2
"170"	16	72084431	72104432	TXNL4B
"171"	10	103957140	103977141	SLK
"172"	22	40809399	40829400	SLC25A17
"173"	11	10848796	10868797	ZBED5
"174"	18	50278304	50298305	CXXC1
"175"	X	68423913	68443914	OPHN1
"176"	11	197511	217512	RIC8A
"177"	17	7874806	7894807	CHD3
"178"	19	57736815	57756816	ZNF776
"179"	20	2830703	2850704	VPS16
"180"	7	76348991	76368992	YWHAG
"181"	19	45682666	45702667	QPCTL
"182"	11	57450528	57470529	RTN4RL2
"183"	16	69329667	69349668	COG8
"184"	4	140144184	140164185	MAML3
"185"	5	134104681	134124682	TCF7
"186"	5	149494670	149514671	AC021078.1
"187"	2	197443423	197463424	COQ10B
"188"	17	82218397	82238398	SLC16A3
"189"	1	155552807	155572808	ASH1L
"190"	17	48038329	48058330	NFE2L1
"191"	5	463236	483237	SLC9A3-AS1
"192"	17	51143536	51163537	NME1
"193"	1	185307273	185327274	IVNS1ABP
"194"	6	116244173	116264174	DSE
"195"	MT	-1634	18367	MT-ATP8
"196"	17	82088294	82108295	FASN
"197"	11	125893221	125913222	PUS3
"198"	16	22427165	22447166	AC092338.1
"199"	11	6609448	6629449	TPP1
"200"	3	158722198	158742199	MFSD1
"201"	2	3548333	3568334	RNASEH1
"202"	8	35515763	35535764	LSM12P1
"203"	2	119419901	119439902	TMEM37
"204"	15	78555520	78575521	CHRNA5
"205"	12	7099238	7119239	C1RL
"206"	2	237617587	237637588	LRRFIP1
"207"	5	43055176	43075177	ZNF131
"208"	11	64801294	64821295	MEN1
"209"	CHR_HSCHR22_1_CTG3	22519375	22539376	ZNF280A
"210"	19	8434767	8454768	HNRNPM
"211"	19	33292534	33312535	CEBPA
"212"	1	226398093	226418094	PARP1
"213"	5	71577288	71597289	MCCC2
"214"	7	45911874	45931875	IGFBP3
"215"	17	64965576	64985577	AMZ2P1
"216"	10	77628369	77648370	KCNMA1
"217"	5	77077285	77097286	ZBED3
"218"	17	28652198	28672199	SUPT6H
"219"	X	136899369	136919370	AL390879.1
"220"	8	141107278	141127279	DENND3
"221"	7	23004130	23024131	FAM126A
"222"	1	84680803	84700804	SSX2IP
"223"	16	74286814	74306815	PSMD7
"224"	17	56828773	56848774	C17orf67
"225"	11	93774391	93794392	TAF1D
"226"	2	137954020	137974021	HNMT
"227"	17	32434379	32454380	PSMD11
"228"	19	2154468	2174469	AP3D1
"229"	9	97402096	97422097	TDRD7
"230"	11	69471545	69491546	AP000439.2
"231"	10	31308495	31328496	ZEB1
"232"	1	113802476	113822477	RSBN1
"233"	12	49178736	49198737	TUBA1C
"234"	17	58466950	58486951	SETP3
"235"	3	179594690	179614691	NDUFB5
"236"	17	7207125	7227126	ACADVL
"237"	9	86273102	86293103	ISCA1
"238"	13	19773019	19793020	PSPC1
"239"	20	43580931	43600932	IFT52
"240"	X	2958310	2978311	ARSE
"241"	4	74089196	74109197	CXCL2
"242"	22	42604962	42624963	POLDIP3
"243"	17	15989717	16009718	ZSWIM7
"244"	19	14679801	14699802	ZNF333
"245"	X	19112637	19132638	ADGRG2
"246"	2	218207141	218227142	ARPC2
"247"	5	177436445	177456446	PRR7
"248"	11	767488	787489	GATD1
"249"	1	145085528	145105529	SRGAP2B
"250"	16	10570632	10590633	EMP2
"251"	2	202902214	202922215	CARF
"252"	6	149854026	149874027	LRP11
"253"	19	772755	792756	LINC01836
"254"	20	57381396	57401397	RBM38
"255"	5	65713035	65733036	SGTB
"256"	10	69170234	69190235	SUPV3L1
"257"	5	14643329	14663330	EEF1A1P13
"258"	1	156591496	156611497	GPATCH4
"259"	X	101398222	101418223	HNRNPH2
"260"	5	41860425	41880426	OXCT1
"261"	19	6877566	6897567	ADGRE1
"262"	22	32029490	32049491	Z74021.1
"263"	9	97973341	97993342	ANP32B
"264"	12	105097643	105117644	ALDH1L2
"265"	9	35093195	35113196	STOML2
"266"	16	75638643	75658644	KARS
"267"	2	108524355	108544356	LIMS1
"268"	1	200729558	200749559	CAMSAP2
"269"	15	74772057	74792058	CSK
"270"	4	112275904	112295905	TIFA
"271"	19	281403	301404	PLPP2
"272"	2	27619012	27639013	CCDC121
"273"	1	231327104	231347105	SPRTN
"274"	1	204142044	204162045	ETNK2
"275"	2	119669167	119689168	TMEM177
"276"	16	68727292	68747293	CDH1
"277"	15	58739791	58759792	ADAM10
"278"	6	110948706	110968707	GTF3C6
"279"	15	38444127	38464128	FAM98B
"280"	6	45367953	45387954	SUPT3H
"281"	11	122872528	122892529	JHY
"282"	17	28845232	28865233	FAM222B
"283"	18	75199139	75219140	ZADH2
"284"	7	101228820	101248821	CLDN15
"285"	17	35563657	35583658	SNORD7
"286"	11	32819927	32839928	PRRG4
"287"	3	48231100	48251101	ZNF589
"288"	16	89207703	89227704	ZNF778
"289"	8	67073783	67093784	COPS5
"290"	14	61685513	61705514	HIF1A
"291"	19	58391504	58411505	ZNF584
"292"	19	13754522	13774523	MRI1
"293"	2	119356921	119376922	DBI
"294"	15	42565606	42585607	STARD9
"295"	21	36310189	36330190	MORC3
"296"	11	120315129	120335130	TMEM136
"297"	11	102337211	102357212	BIRC2
"298"	19	1582865	1602866	MBD3
"299"	15	71086952	71106953	THSD4
"300"	1	37504774	37524775	MEAF6
"301"	12	58910522	58930523	LRIG3
"302"	CHR_HSCHR6_MHC_SSTO_CTG1	30655285	30675286	DHX16
"303"	20	36595779	36615780	RAB5IF
"304"	11	94963586	94983587	CWC15
"305"	2	178102424	178122425	RBM45
"306"	20	32752385	32772386	DNMT3B
"307"	3	9739944	9759945	OGG1
"308"	18	56641343	56661344	WDR7
"309"	2	197301173	197321174	ANKRD44
"310"	3	42591080	42611081	SEC22C
"311"	2	64514305	64534306	AFTPH
"312"	2	174324954	174344955	SP9
"313"	2	178511183	178531184	TTN-AS1
"314"	X	71108556	71128557	MED12
"315"	1	207024366	207044367	PFKFB2
"316"	5	168569368	168589369	PANK3
"317"	X	86037561	86057562	CHM
"318"	5	40788374	40808375	PRKAA1
"319"	16	4464690	4484691	HMOX2
"320"	8	125081679	125101680	NSMCE2
"321"	4	143326762	143346763	GAB1
"322"	6	15236069	15256070	JARID2
"323"	2	68147888	68167889	PNO1
"324"	11	66470233	66490234	AP002748.3
"325"	X	129896121	129916122	UTP14A
"326"	17	42970565	42990566	RUNDC1
"327"	3	155844456	155864457	SLC33A1
"328"	10	113669162	113689163	CASP7
"329"	11	126053335	126073336	CDON
"330"	10	58324979	58344980	UBE2D1
"331"	2	97654107	97674108	ACTR1B
"332"	15	53752878	53772879	WDR72
"333"	12	12705058	12725059	CDKN1B
"334"	19	47245980	47265981	CCDC9
"335"	11	110286712	110306713	RDX
"336"	3	52675917	52695918	PBRM1
"337"	9	96865623	96885624	ZNF782
"338"	18	46910160	46930161	PIAS2
"339"	1	27715979	27735980	FAM76A
"340"	9	34602104	34622105	RPP25L
"341"	20	56382371	56402372	CSTF1
"342"	1	21166888	21186889	EIF4G3
"343"	19	18408864	18428865	SSBP4
"344"	7	11822198	11842199	THSD7A
"345"	12	6757475	6777476	MLF2
"346"	2	134109983	134129984	MGAT5
"347"	CHR_HSCHR6_MHC_COX_CTG1	33200906	33220907	PFDN6
"348"	15	48321011	48341012	DUT
"349"	19	46840992	46860993	AP2S1
"350"	6	44116914	44136915	TMEM63B
"351"	22	23846703	23866704	SLC2A11
"352"	17	74863031	74883032	FDXR
"353"	6	53339179	53359180	ELOVL5
"354"	14	49610795	49630796	MGAT2
"355"	1	9078478	9098479	SLC2A5
"356"	15	43320605	43340606	LCMT2
"357"	14	60714351	60734352	SIX4
"358"	11	14490027	14510028	COPB1
"359"	6	138682571	138702572	NHSL1
"360"	15	75616469	75636470	SNUPN
"361"	16	53693938	53713939	RPGRIP1L
"362"	2	172074740	172094741	DLX1
"363"	10	80197372	80217373	LINC00857
"364"	17	58343093	58363094	SUPT4H1
"365"	1	206193345	206213346	SRGAP2
"366"	16	4605027	4625028	UBALD1
"367"	11	35933981	35953982	LDLRAD3
"368"	X	84993877	85013878	APOOL
"369"	11	75341705	75361706	ARRB1
"370"	10	6134934	6154935	PFKFB3
"371"	11	47555569	47575570	CELF1
"372"	3	47272917	47292918	KLHL18
"373"	7	74181198	74201199	MIR590
"374"	1	167925783	167945784	DCAF6
"375"	17	42666994	42686995	PLEKHH3
"376"	22	37795093	37815094	H1F0
"377"	8	43024194	43044195	FNTA
"378"	17	7922123	7942124	TRAPPC1
"379"	10	99772640	99792641	ABCC2
"380"	CHR_HSCHR13_1_CTG1	112478558	112498559	TUBGCP3
"381"	19	58337718	58357719	A1BG-AS1
"382"	4	88274769	88294770	PPM1K
"383"	16	5087808	5107809	EEF2KMT
"384"	14	81211377	81231378	GTF2A1
"385"	10	13151554	13171555	MCM10
"386"	22	42069691	42089692	SMDT1
"387"	8	22357249	22377250	SLC39A14
"388"	10	124781887	124801888	EEF1AKMT2
"389"	16	66924423	66944424	CIAO2B
"390"	9	15412704	15432705	SNAPC3
"391"	5	40831308	40851309	CARD6
"392"	2	218648764	218668765	BCS1L
"393"	7	92580394	92600395	FAM133B
"394"	19	4781681	4801682	FEM1A
"395"	2	179997297	180017298	CWC22
"396"	20	35274985	35294986	EIF6
"397"	2	11456177	11476178	E2F6
"398"	3	183687797	183707798	YEATS2
"399"	6	26093876	26113877	HIST1H4C
"400"	18	62705541	62725542	PHLPP1
"401"	17	75846507	75866508	WBP2
"402"	16	31690590	31710591	CLUHP3
"403"	18	9605240	9625241	PPP4R1
"404"	3	48625493	48645494	SLC26A6
"405"	17	21564517	21584518	C17orf51
"406"	X	93664013	93684014	FAM133A
"407"	X	132013302	132033303	STK26
"408"	14	95524889	95544890	SNHG10
"409"	3	32492852	32512853	CMTM6
"410"	14	49678422	49698423	POLE2
"411"	3	113995833	114015834	QTRT2
"412"	17	21113364	21133365	DHRS7B
"413"	10	100519072	100539073	HIF1AN
"414"	14	23292848	23312849	PPP1R3E
"415"	19	47474265	47494266	KPTN
"416"	16	57989546	58009547	USB1
"417"	19	55249017	55269018	PPP6R1
"418"	2	32347028	32367029	BIRC6
"419"	2	238310441	238330442	TRAF3IP1
"420"	19	561277	581278	BSG
"421"	10	79337469	79357470	PPIF
"422"	1	100028095	100048096	MFSD14A
"423"	22	38263010	38283011	TMEM184B
"424"	10	119019714	119039715	NANOS1
"425"	7	149704781	149724782	KRBA1
"426"	11	72783681	72803682	STARD10
"427"	7	90157590	90177591	STEAP2
"428"	5	82268396	82288397	RPS23
"429"	2	44929199	44949200	LINC01833
"430"	21	45063853	45083854	ADARB1
"431"	19	32395543	32415544	DPY19L3
"432"	2	171989943	172009944	METAP1D
"433"	14	67806590	67826591	ZFYVE26
"434"	21	44808779	44828780	SUMO3
"435"	19	58408560	58428561	AC012313.4
"436"	3	72986785	73006786	PPP4R2
"437"	7	157325381	157345382	DNAJB6
"438"	5	178194533	178214534	HNRNPAB
"439"	10	102704397	102724398	ARL3
"440"	19	57620395	57640396	ZNF211
"441"	2	86553479	86573480	CHMP3
"442"	16	5023923	5043924	ALG1
"443"	10	91913770	91933771	BTAF1
"444"	1	93335907	93355908	DR1
"445"	22	24171487	24191488	SUSD2
"446"	22	39522761	39542762	RPS19BP1
"447"	3	180858141	180878142	FXR1
"448"	19	35892303	35912304	NFKBID
"449"	3	48908821	48928822	ARIH2
"450"	4	119294445	119314446	C4orf3
"451"	19	1265530	1285531	C19orf24
"452"	5	433160	453161	EXOC3-AS1
"453"	X	47135221	47155222	RBM10
"454"	2	207759906	207779907	FZD5
"455"	13	113574721	113594722	TFDP1
"456"	2	127671786	127691787	LIMS2
"457"	16	74656877	74676878	RFWD3
"458"	9	36477548	36497549	RNF38
"459"	10	60723490	60743491	ANK3
"460"	14	19052316	19072317	DUXAP9
"461"	17	17032545	17052546	MPRIP
"462"	9	123920152	123940153	DENND1A
"463"	8	27301482	27321483	PTK2B
"464"	12	98635113	98655114	IKBIP
"465"	12	93559814	93579815	SOCS2
"466"	10	43128445	43148446	CSGALNACT2
"467"	X	119389336	119409337	SLC25A43
"468"	6	42207861	42227862	MRPS10
"469"	2	168776539	168796540	NOSTRIN
"470"	2	240015345	240035346	NDUFA10
"471"	19	6414794	6434795	KHSRP
"472"	6	99511728	99531729	USP45
"473"	19	42380297	42400298	CNFN
"474"	4	57100385	57120386	IGFBP7
"475"	X	39778136	39798137	GAPDHP1
"476"	10	30424021	30444022	MAP3K8
"477"	19	16486394	16506395	C19orf44
"478"	15	75893876	75913877	FBXO22
"479"	4	145088541	145108542	ANAPC10
"480"	11	119047227	119067228	HYOU1
"481"	10	46020714	46040715	NCOA4
"482"	6	683139	703140	EXOC2
"483"	CHR_HSCHR1_1_CTG3	2576491	2596492	PRXL2B
"484"	9	34448570	34468571	FAM219A
"485"	8	144399335	144419336	CPSF1
"486"	X	68488562	68508563	YIPF6
"487"	7	26191162	26211163	CBX3
"488"	7	105590875	105610876	EFCAB10
"489"	5	171377116	171397117	NPM1
"490"	19	16314817	16334818	KLF2
"491"	6	57304805	57324806	PRIM2
"492"	15	40555057	40575058	CCDC32
"493"	17	43015123	43035124	VAT1
"494"	12	122517000	122537001	RSRC2
"495"	17	7425443	7445444	TMEM102
"496"	7	84482724	84502725	SEMA3A
"497"	6	90577072	90597073	MAP3K7
"498"	1	1263885	1283886	UBE2J2
"499"	7	128780757	128800758	CCDC136
"500"	3	172029578	172049579	FNDC3B
"501"	1	155199051	155219052	THBS3
"502"	4	10106949	10126950	WDR1
"503"	9	113434731	113454732	RGS3
"504"	10	32879311	32899312	AL365203.2
"505"	12	110270756	110290757	ATP2A2
"506"	20	62397285	62417286	CABLES2
"507"	3	58423857	58443858	PDHB
"508"	4	139167218	139187219	ELF2
"509"	9	127387138	127407139	SLC2A8
"510"	X	136136702	136156703	FHL1
"511"	2	213142427	213162428	IKZF2
"512"	8	60668740	60688741	CHD7
"513"	6	56944649	56964650	DST
"514"	19	38637649	38657650	ACTN4
"515"	X	81192102	81212103	SH3BGRL
"516"	5	115286693	115306694	CCDC112
"517"	7	98242379	98262380	BRI3
"518"	1	185147072	185167073	TRMT1L
"519"	3	160389880	160409881	IFT80
"520"	4	153142342	153162343	TRIM2
"521"	3	39098363	39118364	GORASP1
"522"	3	160475773	160495774	TRIM59
"523"	12	111395948	111415949	SH2B3
"524"	9	113211544	113231545	SLC31A1
"525"	12	15872329	15892330	EPS8
"526"	6	281630	301631	DUSP22
"527"	22	22293224	22313225	AC245060.4
"528"	3	52694955	52714956	SPCS1
"529"	7	75779896	75799897	CCL26
"530"	9	26882803	26902804	CAAP1
"531"	4	25150663	25170664	PI4K2B
"532"	12	123661113	123681114	TCTN2
"533"	3	126645124	126665125	TXNRD3
"534"	17	29612907	29632908	CORO6
"535"	14	65400592	65420593	FUT8
"536"	11	119111587	119131588	HINFP
"537"	1	225418925	225438926	LBR
"538"	5	115622992	115642993	TMED7
"539"	19	17923015	17943016	CCDC124
"540"	17	8373213	8393214	RPL26
"541"	2	27076747	27096748	KHK
"542"	19	12881160	12901161	GCDH
"543"	9	128401751	128421752	CERCAM
"544"	11	78069862	78089863	NDUFC2
"545"	3	9387615	9407616	SETD5
"546"	12	125055434	125075435	AACS
"547"	17	64253301	64273302	TEX2
"548"	16	89710898	89730899	VPS9D1
"549"	18	3237481	3257482	MYL12A
"550"	7	157128916	157148917	UBE3C
"551"	12	6558691	6578692	NOP2
"552"	1	111129627	111149628	CEPT1
"553"	5	149990654	150010655	TIGD6
"554"	2	159788255	159808256	CD302
"555"	9	126904774	126924775	RALGPS1
"556"	X	30620298	30640299	FTLP2
"557"	19	46707127	46727128	PRKD2
"558"	9	132660401	132680402	DDX31
"559"	7	30017404	30037405	PLEKHA8
"560"	10	73734372	73754373	SEC24C
"561"	7	128729292	128749293	CALU
"562"	15	40029242	40049243	SRP14-AS1
"563"	2	254140	274141	ACP1
"564"	8	8883630	8903631	MFHAS1
"565"	16	27303668	27323669	IL4R
"566"	7	100072548	100092549	ZNF3
"567"	CHR_HSCHR17_7_CTG4	36592534	36612535	MRM1
"568"	1	111745245	111765246	DDX20
"569"	10	22306386	22326387	COMMD3
"570"	CHR_HSCHR16_1_CTG1	14622727	14642728	PARN
"571"	11	71777510	71797511	FAM86C1
"572"	4	7031899	7051900	TADA2B
"573"	15	77810900	77830901	LINGO1
"574"	22	31054105	31074106	SMTN
"575"	9	130434929	130454930	ASS1
"576"	X	47222690	47242691	USP11
"577"	3	12831588	12851589	RPL32
"578"	11	5586109	5606110	TRIM6
"579"	3	52524013	52544014	SMIM4
"580"	3	37133958	37153959	UBE2FP1
"581"	12	6714014	6734015	COPS7A
"582"	8	89747812	89767813	AF117829.1
"583"	2	174385712	174405713	CIR1
"584"	19	16175380	16195381	FAM32A
"585"	12	71654301	71674302	THAP2
"586"	17	48622559	48642560	MIR196A1
"587"	12	42351267	42371268	AC079684.1
"588"	1	55205364	55225365	USP24
"589"	16	23442758	23462759	AC008915.2
"590"	1	161142776	161162777	UFC1
"591"	10	37966647	37986648	ZNF25
"592"	10	119882730	119902731	SEC23IP
"593"	1	235118837	235138838	TOMM20
"594"	17	75395709	75415710	GRB2
"595"	12	132479551	132499552	FBRSL1
"596"	2	206208047	206228048	GPR1
"597"	18	2837006	2857007	EMILIN2
"598"	7	77686459	77706460	RSBN1L
"599"	2	98598515	98618516	COA5
"600"	12	57926345	57946346	GIHCG
"601"	8	143724140	143744141	IQANK1
"602"	1	154953853	154973854	PYGO2
"603"	1	165817614	165837615	UCK2
"604"	3	196558674	196578675	WDR53
"605"	22	36018824	36038825	RBFOX2
"606"	2	24962094	24982095	DNAJC27
"607"	11	65445258	65465259	AP000769.1
"608"	8	81722448	81742449	CHMP4C
"609"	6	149708105	149728106	LATS1
"610"	16	4528828	4548829	CDIP1
"611"	4	4280154	4300155	LYAR
"612"	1	100123150	100143151	TRMT13
"613"	12	53490063	53510064	MAP3K12
"614"	4	15671679	15691680	FBXL5
"615"	16	82160224	82180225	MPHOSPH6
"616"	8	98107171	98127172	RIDA
"617"	19	47505091	47525092	NAPA
"618"	6	108838416	108858417	ARMC2
"619"	19	13942492	13962493	DCAF15
"620"	13	109259634	109279635	AL161431.1
"621"	16	2145698	2165699	TRAF7
"622"	11	125101763	125121764	TMEM218
"623"	17	81656635	81676636	OXLD1
"624"	12	49049774	49069775	KMT2D
"625"	16	8778823	8798824	PMM2
"626"	5	139283648	139303649	MATR3
"627"	5	126590925	126610926	PHAX
"628"	3	56547161	56567162	CCDC66
"629"	8	103405189	103425190	SLC25A32
"630"	11	57657747	57677748	ZDHHC5
"631"	19	57425325	57445326	ZNF749
"632"	3	52229158	52249159	TWF2
"633"	1	198146994	198166995	NEK7
"634"	6	43566150	43586151	POLH
"635"	3	155735067	155755068	PLCH1
"636"	1	183625783	183645784	ARPC5
"637"	X	109525781	109545782	NXT2
"638"	2	204535475	204555476	PARD3B
"639"	9	135489984	135509985	MRPS2
"640"	1	37464580	37484581	ZC3H12A
"641"	3	101714593	101734594	CEP97
"642"	21	44930012	44950013	FAM207A
"643"	1	150965004	150985005	CERS2
"644"	1	31634896	31654897	PEF1
"645"	X	119683370	119703371	SEPT6
"646"	18	9126228	9146229	ANKRD12
"647"	17	58407595	58427596	RNF43
"648"	X	40569372	40589373	ATP6AP2
"649"	3	14114940	14134941	TMEM43
"650"	11	68034794	68054795	MIR6753
"651"	7	74880610	74900611	STAG3L2
"652"	19	1428358	1448359	RPS15
"653"	22	30959245	30979246	TUG1
"654"	19	6521026	6541027	TNFSF9
"655"	19	15662757	15682758	CYP4F12
"656"	4	82420408	82440409	HNRNPDL
"657"	20	31504410	31524411	HM13
"658"	17	21204624	21224625	TMEM11
"659"	19	3037635	3057636	TLE2
"660"	20	36296336	36316337	DLGAP4
"661"	19	35536029	35556030	TMEM147-AS1
"662"	1	10022832	10042833	UBE4B
"663"	19	18909705	18929706	DDX49
"664"	7	510296	530297	PDGFA
"665"	10	50057888	50077889	WASHC2A
"666"	9	83946986	83966987	C9orf64
"667"	15	57365967	57385968	CGNL1
"668"	2	20641130	20661131	HS1BP3
"669"	1	46606843	46626844	MKNK1
"670"	14	102499799	102519800	ANKRD9
"671"	8	123531206	123551207	FBXO32
"672"	1	40030233	40050234	CAP1
"673"	12	55719707	55739708	CD63
"674"	12	30685869	30705870	IPO8
"675"	5	91373317	91393318	ARRDC3
"676"	2	127097288	127117289	BIN1
"677"	5	16455800	16475801	ZNF622
"678"	CHR_HSCHR22_1_CTG7	23776963	23796964	SMARCB1
"679"	15	22828641	22848642	NIPA2
"680"	CHR_HSCHR18_ALT2_CTG2_1	79062883	79082884	ATP9B
"681"	12	51260415	51280416	SMAGP
"682"	16	11841580	11861581	RSL1D1
"683"	CHR_HSCHR6_MHC_MANN_CTG1	30898902	30918903	RF00100
"684"	20	34694339	34714340	TP53INP2
"685"	2	46688952	46708953	SOCS5
"686"	4	663580	683581	MYL5
"687"	19	45772552	45792553	DMPK
"688"	20	10425305	10445306	SLX4IP
